time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2007-12-26,1495.120000,1498.850000,1488.200000,1497.660000,,,,0.000000,0.000000,0.000000,,,,,,,,
2007-12-27,1495.050000,1495.050000,1475.860000,1476.370000,,,,-1.698348,-0.339670,-2.717356,,,,,,,,
2007-12-28,1479.830000,1488.010000,1471.700000,1478.490000,,,,-2.840491,-0.839834,-4.001314,,,,,,,,
2007-12-31,1475.250000,1475.830000,1465.130000,1468.360000,,,,-4.511053,-1.574078,-5.873951,,,,,,,,
2008-01-02,1467.970000,1471.770000,1442.070000,1447.160000,1473.608000,,,-7.459658,-2.751194,-9.416929,,,,,,,,
2008-01-03,1447.550000,1456.800000,1443.730000,1447.160000,1463.508000,,,-9.684808,-4.137917,-11.093784,,,,,,,,
2008-01-04,1444.010000,1444.010000,1411.190000,1411.630000,1450.560000,,,-14.152094,-6.140752,-16.022683,,,,,,,,
2008-01-07,1414.070000,1423.870000,1403.450000,1416.180000,1438.098000,,,-17.127863,-8.338174,-17.579378,,,,,,,,
2008-01-08,1415.710000,1430.280000,1388.300000,1390.190000,1422.464000,,,-21.337393,-10.938018,-20.798751,,,,,,1.709634,1.709634,1.709634
2008-01-09,1390.250000,1409.190000,1378.700000,1409.130000,1414.858000,,,-22.881414,-13.326697,-19.109434,,,,,,16.376161,10.509550,28.109383
2008-01-10,1406.780000,1429.070000,1395.300000,1420.330000,1409.492000,,,-22.936913,-15.248740,-15.376345,,,,,,26.658986,18.159283,43.658392
2008-01-11,1419.910000,1419.910000,1394.830000,1401.020000,1407.370000,,,-24.259404,-17.050873,-14.417062,,,,,,25.130589,21.055056,33.281655
2008-01-14,1402.910000,1417.890000,1402.910000,1416.250000,1407.384000,,,-23.804155,-18.401530,-10.805251,,,,,,30.971567,24.861869,43.190964
2008-01-15,1411.880000,1411.880000,1380.600000,1380.950000,1405.536000,,,-25.992160,-19.919656,-12.145009,24.681429,,,,23.569908,20.706865,23.343574,15.433447
2008-01-16,1377.410000,1391.990000,1364.270000,1373.200000,1398.350000,1428.938667,,-28.028436,-21.541412,-12.974049,25.900714,,,,22.770631,17.340518,21.218160,9.585234
2008-01-17,1374.790000,1377.720000,1330.670000,1333.250000,1380.934000,1417.978000,,-32.491291,-23.731388,-17.519807,27.704286,,,,21.051780,12.224077,18.098404,0.475422
2008-01-18,1333.900000,1350.280000,1312.510000,1325.190000,1365.768000,1407.899333,,-36.260522,-26.237214,-20.046614,29.237143,,,,19.720313,11.725327,15.917310,3.341362
2008-01-22,1325.190000,1325.190000,1274.290000,1310.500000,1344.618000,1396.700000,,-39.972249,-28.984221,-21.976056,31.918571,,,,19.371362,15.683694,15.838064,15.374955
2008-01-23,1310.410000,1339.090000,1270.050000,1338.600000,1336.148000,1388.049333,,-40.183178,-31.224013,-17.918331,34.728571,,,,29.486017,24.931977,18.904823,36.986286
2008-01-24,1340.130000,1355.150000,1334.310000,1352.070000,1331.922000,1381.710000,,-38.815978,-32.742406,-12.147144,35.283571,1404.684500,1513.919787,1295.449213,32.901787,34.942164,24.292125,56.242242
2008-01-25,1357.320000,1368.560000,1327.500000,1330.610000,1331.394000,1373.940000,,-39.014371,-33.996799,-10.035145,35.647143,1396.332000,1501.088314,1291.575686,34.655303,36.959543,28.536406,53.805817
2008-01-28,1330.700000,1353.970000,1322.260000,1353.970000,1337.150000,1370.096000,,-36.861724,-34.569784,-4.583880,36.453571,1390.212000,1489.435644,1290.988356,39.001450,44.388285,33.838528,65.487799
2008-01-29,1355.940000,1364.930000,1350.190000,1362.300000,1347.510000,1366.504000,,-34.090598,-34.473947,0.766697,34.507857,1384.402500,1475.103157,1293.701843,44.740713,54.833363,40.852825,82.794440
2008-01-30,1362.220000,1385.860000,1352.950000,1355.810000,1350.952000,1364.212000,,-32.048713,-33.988900,3.880375,34.680714,1378.775000,1461.124305,1296.425695,39.449941,61.249453,47.662067,88.424223
2008-01-31,1351.980000,1385.620000,1334.080000,1378.550000,1356.248000,1362.173333,,-28.269700,-32.845060,9.150720,35.950000,1375.344500,1451.155711,1299.533289,42.094308,72.073266,55.807401,104.604998
2008-02-01,1378.600000,1396.020000,1375.930000,1395.420000,1369.210000,1360.512667,,-23.641018,-31.004252,14.726466,35.563571,1372.757500,1441.446842,1304.068158,48.930481,81.229605,64.287207,115.114402
2008-02-04,1395.380000,1395.380000,1379.690000,1380.820000,1374.580000,1359.166000,,-20.909817,-28.985365,16.151095,35.482143,1371.217000,1437.578120,1304.855880,43.217062,83.465290,70.682786,109.030298
2008-02-05,1380.280000,1380.280000,1336.640000,1336.640000,1369.448000,1353.858667,,-22.056030,-27.599498,11.086936,36.091429,1367.240000,1431.763531,1302.716469,41.795964,62.135666,67.832889,50.741220
2008-02-06,1339.480000,1351.960000,1324.340000,1326.450000,1363.576000,1350.225333,,-23.515586,-26.782715,6.534259,36.084286,1364.053000,1430.082644,1298.023356,41.421704,43.313533,59.658131,10.624335
2008-02-07,1324.010000,1347.160000,1316.750000,1336.910000,1355.248000,1347.806000,1388.372333,-23.556713,-26.137515,5.161604,34.895714,1360.442000,1423.942702,1296.941298,50.753086,37.352247,52.221843,7.613057
2008-02-08,1336.880000,1341.220000,1321.060000,1331.290000,1342.422000,1347.675333,1382.826667,-23.768802,-25.663772,3.789941,33.637857,1355.990000,1414.065217,1297.914783,51.267875,31.015058,45.152285,2.740606
2008-02-11,1331.920000,1341.400000,1320.320000,1339.130000,1334.084000,1348.604667,1378.252000,-23.038685,-25.138755,4.200139,31.507857,1352.895500,1407.350719,1298.440281,56.125112,30.087525,40.130400,10.001775
2008-02-12,1340.550000,1362.100000,1339.360000,1348.860000,1336.528000,1351.162000,1373.931000,-21.427925,-24.396589,5.937327,28.217143,1349.526000,1395.088990,1303.963010,52.382279,33.560863,37.940468,24.801655
2008-02-13,1353.120000,1369.230000,1350.780000,1367.210000,1344.680000,1353.069333,1370.559333,-18.457923,-23.208856,9.501865,28.183571,1348.839000,1392.792924,1304.885076,53.437472,43.592794,39.824626,51.129129
2008-02-14,1367.330000,1368.160000,1347.310000,1348.860000,1347.070000,1352.855333,1367.282667,-17.384470,-22.043979,9.319018,26.740000,1347.622000,1390.057513,1305.186487,54.202939,42.674123,40.774475,46.473419
2008-02-15,1347.520000,1350.000000,1338.130000,1349.990000,1350.810000,1354.147333,1364.043667,-16.255189,-20.886221,9.262064,25.322857,1348.459000,1390.357907,1306.560093,48.978859,45.890032,42.479681,52.710736
2008-02-19,1357.980000,1367.280000,1345.050000,1348.780000,1352.740000,1353.801333,1361.948667,-15.281704,-19.765317,8.967226,25.857857,1349.638500,1390.082209,1309.194791,46.399659,50.937653,45.299027,62.214904
2008-02-20,1348.390000,1363.710000,1336.550000,1360.030000,1354.974000,1353.650000,1360.077000,-13.447416,-18.501737,10.108641,25.447143,1352.115000,1388.310506,1315.919494,51.095990,61.448327,50.682155,82.980672
2008-02-21,1362.210000,1367.940000,1339.340000,1342.530000,1350.038000,1352.764667,1358.488333,-13.253061,-17.452002,8.397882,23.808571,1352.311500,1388.239760,1316.383240,40.383383,56.102178,52.488836,63.328864
2008-02-22,1344.220000,1354.300000,1327.040000,1353.110000,1350.888000,1351.068667,1356.621000,-12.105767,-16.382755,8.553975,24.320714,1352.363500,1388.293299,1316.433701,38.311509,59.748629,54.908772,69.428342
2008-02-25,1352.750000,1374.360000,1346.030000,1371.800000,1355.250000,1349.494000,1355.003333,-9.577993,-15.021803,10.887619,25.220714,1354.423000,1389.820730,1319.025270,47.563216,71.362446,60.393339,93.300660
2008-02-26,1371.760000,1387.340000,1363.290000,1381.290000,1361.752000,1349.525333,1354.345667,-6.731355,-13.363713,13.264716,23.782857,1355.789000,1393.166331,1318.411669,64.844737,77.563914,66.116870,100.458004
2008-02-27,1378.950000,1388.340000,1372.000000,1380.020000,1365.750000,1352.417333,1353.138000,-4.525683,-11.596107,14.140848,22.977143,1356.675000,1395.513685,1317.836315,68.933343,80.518414,70.917388,99.720466
2008-02-28,1378.160000,1378.160000,1363.160000,1367.680000,1370.780000,1355.166000,1352.695667,-3.730405,-10.022967,12.585123,22.009286,1357.268500,1396.413099,1318.123901,60.732473,75.777907,72.537562,82.258598
2008-02-29,1364.070000,1364.070000,1325.420000,1330.630000,1366.284000,1354.747333,1351.276667,-6.020368,-9.222447,6.404158,23.587857,1354.872500,1394.396815,1315.348185,49.811191,53.278717,66.117945,27.600260
2008-03-03,1330.450000,1335.130000,1320.040000,1331.340000,1358.192000,1354.750667,1351.213000,-7.689252,-8.915808,2.453112,23.160000,1351.668500,1387.576807,1315.760193,47.676707,41.034027,57.756637,7.588807
2008-03-04,1329.580000,1331.030000,1307.390000,1326.750000,1347.284000,1353.925333,1351.265000,-9.275310,-8.987708,-0.575202,23.230000,1348.965000,1383.756482,1314.173518,43.197342,35.328017,50.280429,5.423191
2008-03-05,1327.690000,1344.190000,1320.220000,1333.700000,1338.020000,1352.914667,1352.038333,-9.857830,-9.161733,-1.392194,23.487143,1348.818000,1383.852740,1313.783260,38.912051,34.385859,44.982239,13.193100
2008-03-06,1332.200000,1332.200000,1303.420000,1304.340000,1325.352000,1348.723333,1350.896333,-12.543988,-9.838184,-5.411609,24.160714,1347.712500,1386.871633,1308.553367,36.269430,23.285030,37.749835,-5.644582
2008-03-07,1301.530000,1313.240000,1282.430000,1293.370000,1317.900000,1345.024000,1348.939667,-15.380677,-10.946682,-8.867989,25.513571,1345.535500,1391.477009,1299.593991,33.536869,18.966528,31.488732,-6.077881
2008-03-10,1293.160000,1295.010000,1272.660000,1273.370000,1306.306000,1339.916000,1347.031667,-19.023317,-12.562009,-12.922615,25.522143,1342.639500,1398.576767,1286.702233,30.233290,12.848939,25.275468,-12.004118
2008-03-11,1274.400000,1320.650000,1274.400000,1320.650000,1305.086000,1338.040667,1345.921000,-17.888823,-13.627372,-8.522902,26.959286,1341.715500,1398.500952,1284.930048,41.317577,23.728677,24.759871,21.666289
2008-03-12,1321.130000,1333.260000,1307.860000,1308.770000,1300.100000,1334.623333,1344.136667,-17.743806,-14.450659,-6.586294,26.730714,1339.711000,1398.238173,1281.183827,42.367517,28.986897,26.168880,34.622931
2008-03-13,1305.260000,1321.680000,1282.110000,1315.480000,1302.328000,1332.820000,1342.792333,-16.892709,-14.939069,-3.907281,27.610000,1337.124500,1395.104422,1279.144578,41.341065,39.278929,30.538896,56.758996
2008-03-14,1316.050000,1321.470000,1274.860000,1288.140000,1301.282000,1328.488667,1339.778667,-18.214355,-15.594126,-5.240457,28.915714,1334.088500,1395.724703,1272.452297,31.486235,33.399709,31.492501,37.214127
2008-03-17,1283.210000,1287.500000,1256.980000,1276.600000,1301.928000,1322.142000,1335.818000,-19.962831,-16.467867,-6.989927,29.423571,1330.419000,1396.637328,1264.200672,27.040660,29.765613,30.916871,27.463096
2008-03-18,1277.160000,1330.740000,1277.160000,1330.740000,1303.946000,1318.772000,1334.148667,-16.786362,-16.531566,-0.509592,32.123571,1329.517000,1395.171314,1263.862686,41.226946,52.075869,37.969871,80.287866
2008-03-19,1330.970000,1341.510000,1298.420000,1298.420000,1301.876000,1313.332000,1332.874667,-16.684612,-16.562175,-0.244874,33.997143,1326.436500,1391.843747,1261.029253,38.488898,51.058585,42.332775,68.510203
2008-03-20,1299.670000,1330.670000,1295.220000,1329.510000,1304.682000,1310.787333,1332.976667,-13.934642,-16.036668,4.204054,33.510714,1325.785500,1390.776160,1260.794840,49.810092,62.640342,49.101964,89.717097
2008-03-24,1330.290000,1359.680000,1330.290000,1349.880000,1317.030000,1312.070667,1333.409000,-9.996349,-14.828605,9.664510,34.587857,1325.624000,1390.344253,1260.903747,52.947161,71.912776,56.705568,102.327191
2008-03-25,1349.070000,1357.470000,1341.210000,1352.990000,1332.308000,1313.514000,1334.132333,-6.548783,-13.172640,13.247714,34.038571,1324.683500,1387.083503,1262.283497,54.190890,79.103811,64.171649,108.968135
2008-03-26,1352.450000,1352.450000,1336.410000,1341.130000,1334.386000,1314.472667,1334.199000,-4.719166,-11.481945,13.525560,33.510714,1322.675500,1379.764373,1265.586627,51.168349,80.048435,69.463911,101.217483
2008-03-27,1340.340000,1345.620000,1325.660000,1325.660000,1339.834000,1313.936667,1333.425667,-4.465999,-10.078756,11.225515,32.773571,1319.957500,1370.332258,1269.582742,53.505656,75.657087,71.528303,83.914655
2008-03-28,1327.020000,1334.870000,1312.950000,1315.220000,1336.976000,1314.662000,1331.692667,-5.049575,-9.072920,8.046690,32.138571,1317.334500,1362.433412,1272.235588,53.599078,69.341012,70.799206,66.424623
2008-03-31,1315.920000,1328.520000,1312.810000,1322.700000,1331.540000,1316.617333,1330.820667,-4.852552,-8.228846,6.752588,31.664286,1316.938000,1361.682786,1272.193214,58.475071,64.622882,68.740431,56.387782
2008-04-01,1326.410000,1370.180000,1326.410000,1370.180000,1334.978000,1323.071333,1331.493667,-0.855312,-6.754139,11.797655,31.678571,1318.880000,1369.271773,1268.488227,58.503588,76.415254,71.298706,86.648352
2008-04-02,1369.960000,1377.950000,1361.550000,1367.530000,1340.258000,1326.196667,1332.118667,2.074781,-4.988355,14.126272,31.035714,1320.919000,1375.755708,1266.082292,60.418440,80.078440,74.225284,91.784752
2008-04-03,1365.690000,1375.660000,1358.680000,1369.310000,1348.988000,1330.232667,1332.428000,4.488787,-3.092927,15.163428,29.422143,1322.699500,1381.455889,1263.943111,59.714152,82.297713,76.916094,93.060953
2008-04-04,1369.850000,1380.910000,1362.830000,1370.400000,1360.024000,1333.894000,1333.357000,6.415900,-1.191162,15.214123,27.384286,1326.002500,1387.763598,1264.241402,66.398214,83.054080,78.962089,91.238062
2008-04-07,1373.690000,1386.740000,1369.020000,1372.540000,1369.992000,1339.520667,1334.004667,8.023343,0.651739,14.743207,26.424286,1329.961000,1393.049947,1266.872053,69.869936,82.300267,80.074815,86.751172
2008-04-08,1370.160000,1370.160000,1360.620000,1365.540000,1369.064000,1345.450000,1333.796000,8.632897,2.247971,12.769852,23.408571,1334.569500,1393.587037,1275.551963,58.956146,78.641587,79.597072,76.730616
2008-04-09,1365.500000,1368.390000,1349.970000,1354.490000,1366.456000,1347.033333,1332.902667,8.130605,3.424498,9.412215,21.646429,1336.261500,1395.538543,1276.984457,66.204266,71.220276,76.804807,60.051214
2008-04-10,1355.370000,1367.240000,1350.110000,1360.550000,1364.704000,1351.175333,1332.253667,8.127834,4.365165,7.525339,20.337857,1338.850500,1397.592555,1280.108445,60.487904,69.005050,74.204888,58.605374
2008-04-11,1357.980000,1357.980000,1331.210000,1332.830000,1357.190000,1351.396667,1331.092000,5.821757,4.656483,2.330547,20.278571,1339.718000,1397.511649,1281.924351,44.511685,49.550524,65.986767,16.678039
2008-04-14,1332.200000,1335.640000,1326.160000,1328.320000,1348.346000,1349.959333,1331.015000,3.588884,4.442963,-1.708159,19.794286,1341.727000,1394.551248,1288.902752,42.129777,34.222194,55.398576,-8.130570
2008-04-15,1331.720000,1337.720000,1324.350000,1334.430000,1342.124000,1348.722000,1331.118000,2.285990,4.011569,-3.451157,19.565000,1344.618500,1387.901923,1301.335077,47.781163,28.200274,46.332475,-8.064128
2008-04-16,1337.020000,1365.490000,1337.020000,1364.710000,1344.168000,1350.294000,1332.383333,3.654652,3.940185,-0.571067,20.357857,1346.317000,1389.971788,1302.662212,61.776947,40.363468,44.342806,32.404791
2008-04-17,1363.370000,1368.600000,1357.250000,1365.560000,1345.170000,1352.954000,1333.445333,4.753123,4.102773,1.300701,19.602857,1349.674000,1387.795824,1311.552176,66.113956,48.926396,45.870669,55.037849
2008-04-18,1369.000000,1395.900000,1369.000000,1390.330000,1356.670000,1357.961333,1336.311667,7.535537,4.789326,5.492422,20.647857,1352.715000,1393.662769,1311.767231,69.491037,63.356008,51.699116,86.669794
2008-04-21,1387.720000,1390.230000,1379.250000,1388.170000,1368.640000,1362.326000,1339.471667,9.457308,5.722922,7.468771,18.047857,1354.629500,1398.495642,1310.763358,57.018023,71.969461,58.455897,98.996588
2008-04-22,1386.430000,1386.430000,1369.840000,1375.940000,1376.942000,1362.710000,1342.890667,9.879580,6.554254,6.650653,18.185714,1355.777000,1400.651672,1310.902328,53.052632,72.014115,62.975303,90.091739
2008-04-23,1378.400000,1387.870000,1372.240000,1379.930000,1379.986000,1363.536667,1344.866667,10.416124,7.326628,6.178992,18.089286,1357.717000,1403.275078,1312.158922,53.793941,73.902725,66.617777,88.472620
2008-04-24,1380.520000,1397.720000,1371.090000,1388.820000,1384.638000,1364.837333,1347.535000,11.426964,8.146695,6.560538,18.700000,1360.875000,1405.828997,1315.921003,56.233081,78.558384,70.597979,94.479193
2008-04-25,1387.880000,1399.110000,1379.980000,1397.840000,1386.140000,1366.666667,1350.280333,12.808255,9.079007,7.458496,18.800714,1365.006000,1407.407149,1322.604851,58.180290,85.139333,75.445097,104.527804
2008-04-28,1398.330000,1402.900000,1394.400000,1396.370000,1387.780000,1368.255333,1353.888000,13.627235,9.988653,7.277165,18.556429,1368.689500,1408.325640,1329.053360,60.338005,86.788901,79.226365,101.913974
2008-04-29,1395.610000,1397.000000,1386.700000,1390.940000,1390.780000,1369.948667,1357.699333,13.680428,10.727008,5.906840,17.976429,1369.727500,1410.596164,1328.858836,62.701234,82.459487,80.304072,86.770315
2008-04-30,1391.220000,1404.570000,1384.250000,1385.590000,1391.912000,1372.022000,1359.527667,13.139420,11.209490,3.859860,18.204286,1370.630500,1412.088553,1329.172447,58.768735,70.519800,77.042648,57.474104
2008-05-01,1385.970000,1410.070000,1383.070000,1409.340000,1396.016000,1375.274667,1363.225000,14.460403,11.859673,5.201461,18.037143,1372.632000,1417.542952,1327.721048,77.559254,79.741678,77.942325,83.340384
2008-05-02,1409.160000,1422.720000,1406.250000,1413.900000,1399.228000,1380.679333,1366.038000,15.694332,12.626604,6.135454,18.536429,1374.807000,1423.330837,1326.283163,80.815210,80.934694,78.939781,84.924520
2008-05-05,1412.770000,1415.700000,1404.370000,1407.490000,1401.452000,1385.957333,1367.958333,15.970893,13.295462,5.350861,18.390714,1376.554500,1427.205291,1325.903709,76.250359,77.457012,78.445525,75.479985
2008-05-06,1405.600000,1421.570000,1397.100000,1418.260000,1406.916000,1391.546000,1370.134000,16.864712,14.009312,5.710801,17.920000,1379.190500,1432.827088,1325.553912,72.377768,82.091878,79.660976,86.953683
2008-05-07,1417.490000,1419.540000,1391.160000,1392.570000,1408.312000,1393.403333,1371.848667,15.323463,14.272142,2.102642,19.136429,1381.094500,1433.733467,1328.455533,59.346668,64.546980,74.622977,44.394985
2008-05-08,1394.290000,1402.350000,1389.390000,1397.680000,1405.980000,1395.544667,1374.249333,14.348941,14.287502,0.122878,17.895000,1382.951000,1435.156383,1330.745617,52.944004,55.313791,68.186582,29.568211
2008-05-09,1394.900000,1394.900000,1384.110000,1388.280000,1400.856000,1395.408000,1376.684667,12.672048,13.964411,-2.584726,18.072857,1385.723500,1432.308358,1339.138642,50.041645,41.255853,59.209672,5.348213
2008-05-12,1389.400000,1404.060000,1386.200000,1403.580000,1400.074000,1396.435333,1379.380667,12.434345,13.658398,-2.448106,18.039286,1389.486500,1428.008393,1350.964607,60.226432,44.746441,54.388595,25.462132
