time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2023-08-21,918.000000,950.000000,894.100000,903.200000,,,,0.000000,0.000000,0.000000,,,,,,,,
2023-08-22,895.400000,957.000000,885.000000,895.100000,,,,-0.646154,-0.129231,-1.033846,,,,,,,,
2023-08-23,895.000000,930.700000,894.400000,901.600000,,,,-0.626518,-0.228688,-0.795659,,,,,,,,
2023-08-24,905.000000,920.700000,866.000000,874.800000,,,,-2.741885,-0.731328,-4.021115,,,,,,,,
2023-08-25,880.000000,888.000000,852.000000,861.500000,887.240000,,,-5.428946,-1.670851,-7.516190,,,,,,,,
2023-08-28,872.100000,890.000000,826.200000,847.900000,876.180000,,,-8.557226,-3.048126,-11.018199,,,,,,,,
2023-08-29,848.100000,867.800000,831.200000,855.700000,868.300000,,,-10.288416,-4.496184,-11.584464,,,,,,,,
2023-08-30,861.100000,875.000000,855.700000,864.000000,860.780000,,,-10.865407,-5.770029,-10.190757,,,,,,,,
2023-08-31,865.000000,872.000000,842.300000,857.300000,857.280000,,,-11.728116,-6.961646,-9.532940,,,,,,23.776758,23.776758,23.776758
2023-09-01,866.500000,895.800000,857.300000,883.700000,861.720000,,,-10.164391,-7.602195,-5.124392,,,,,,35.886850,31.042813,45.574924
2023-09-04,895.000000,900.000000,872.800000,877.800000,867.700000,,,-9.294072,-7.940571,-2.707003,,,,,,42.277390,36.364455,54.103261
2023-09-05,878.000000,971.100000,877.200000,969.000000,890.360000,,,-1.231069,-6.598670,10.735202,,,,,,65.652468,48.530245,99.896913
2023-09-06,972.000000,980.400000,918.000000,928.600000,903.280000,,,1.877336,-4.903469,13.561609,,,,,,65.942223,55.214464,87.397742
2023-09-07,930.000000,961.000000,910.000000,920.100000,915.840000,,,3.613239,-3.200128,13.626732,48.378571,,,,53.206831,64.097878,58.460584,75.372467
2023-09-08,915.000000,934.700000,890.400000,891.000000,917.300000,888.753333,,2.610732,-2.037956,9.297376,47.550000,,,,47.915243,55.594371,57.445786,51.891542
2023-09-11,892.900000,918.600000,888.800000,905.300000,922.800000,888.893333,,2.936282,-1.043108,7.958780,44.535714,,,,51.706827,52.134279,55.603397,45.196044
2023-09-12,909.000000,921.800000,898.000000,905.300000,910.060000,889.573333,,3.157880,-0.202910,6.721582,43.642857,,,,50.632911,49.904558,53.653051,42.407573
2023-09-13,910.000000,918.800000,868.600000,876.400000,899.620000,887.893333,,0.990097,0.035691,1.908812,43.321429,,,,50.271739,38.239360,48.424482,17.869115
2023-09-14,878.000000,890.600000,866.000000,870.500000,889.700000,887.606667,,-1.190247,-0.209497,-1.961501,42.507143,,,,51.567944,26.670346,41.088290,-2.165542
2023-09-15,878.000000,889.800000,871.500000,884.500000,888.400000,889.140000,,-1.768121,-0.521221,-2.493799,39.328571,888.665000,946.570159,830.759841,56.367432,23.143491,35.060230,-0.689987
2023-09-18,884.800000,914.500000,880.000000,897.700000,886.880000,892.460000,,-1.147730,-0.646523,-1.002414,39.178571,888.390000,946.056259,830.723741,57.172131,24.673452,31.580089,10.860178
2023-09-19,900.000000,908.100000,886.000000,894.900000,884.800000,895.073333,,-0.871951,-0.691609,-0.360685,39.378571,888.380000,946.041429,830.718571,55.377654,26.595904,29.912983,19.961746
2023-09-20,898.000000,916.000000,894.000000,908.700000,891.260000,898.053333,,0.454907,-0.462306,1.834424,38.828571,888.735000,946.824958,830.645042,58.729620,38.475830,32.773799,49.879894
2023-09-21,906.000000,911.300000,878.200000,882.000000,893.560000,899.700000,,-0.640631,-0.497971,-0.285321,38.442857,889.095000,946.909931,831.280069,49.711571,35.203517,33.584940,38.440671
2023-09-22,890.000000,890.000000,870.000000,877.800000,892.220000,899.306667,,-1.826701,-0.763717,-2.125968,37.928571,889.910000,946.534335,833.285665,50.000000,30.513235,32.559998,26.419710
2023-09-25,876.300000,884.400000,831.600000,834.100000,879.500000,896.393333,,-6.221180,-1.855210,-8.731942,34.992857,889.220000,948.283555,830.156445,22.525458,21.291575,28.801314,6.272097
2023-09-26,824.000000,830.000000,773.600000,773.700000,855.260000,883.373333,,-14.411486,-4.366465,-20.090042,34.857143,885.120000,962.519132,807.720868,20.828625,14.214599,23.936881,-5.229965
2023-09-27,774.400000,781.300000,730.300000,753.400000,824.200000,871.693333,,-22.283531,-7.949878,-28.667306,34.857143,879.590000,976.649893,782.530107,19.942301,13.622694,20.497784,-0.127487
2023-09-28,759.600000,768.000000,706.700000,716.900000,791.180000,858.146667,,-31.108826,-12.581668,-37.054316,36.071429,872.570000,993.734127,751.405873,19.423955,10.705674,17.233093,-2.349165
2023-10-09,711.000000,744.100000,689.000000,737.000000,763.020000,847.880000,868.316667,-36.065295,-17.278393,-37.573804,37.878571,865.235000,1000.503035,729.966965,21.032702,14.186039,16.217273,10.123572
2023-10-10,739.300000,753.000000,716.300000,727.200000,741.640000,836.006667,862.450000,-40.319334,-21.886581,-36.865506,38.800000,857.705000,1006.152836,709.257164,20.346320,15.066836,15.833760,13.532989
2023-10-11,734.000000,755.100000,728.000000,744.000000,735.700000,825.253333,857.413333,-41.852621,-25.879789,-31.945663,37.207143,846.455000,993.485687,699.424313,27.029840,18.291862,16.653176,21.569235
2023-10-12,741.000000,800.500000,727.400000,786.500000,742.320000,819.260000,853.576667,-39.186647,-28.541161,-21.290973,40.671429,839.350000,983.369582,695.330418,37.068966,28.364128,20.556981,43.978422
2023-10-13,781.000000,799.900000,770.200000,781.800000,755.300000,813.346667,850.476667,-37.026279,-30.238184,-13.576189,41.414286,832.435000,973.377605,691.492395,33.724247,34.740361,25.284899,53.651286
2023-10-16,788.000000,823.000000,781.600000,781.700000,764.240000,806.493333,847.816667,-34.919708,-31.174489,-7.490437,41.907143,826.970000,966.823112,687.116888,30.820106,45.075317,31.881821,71.462307
2023-10-17,777.500000,778.000000,723.600000,723.600000,763.520000,794.886667,843.673333,-37.506073,-32.440806,-10.130534,44.478571,817.885000,959.903357,675.866643,26.055354,38.657101,34.140274,47.690754
2023-10-18,725.000000,744.000000,714.000000,732.700000,761.260000,784.073333,839.573333,-38.379082,-33.628461,-9.501241,45.050000,809.255000,949.877174,668.632826,25.070822,36.642032,34.974200,39.977695
2023-10-19,727.400000,759.700000,720.000000,756.900000,755.340000,773.953333,836.003333,-36.695210,-34.241811,-4.906799,45.521429,803.280000,942.032268,664.527732,32.154066,41.318593,37.089009,49.777761
2023-10-20,760.000000,773.900000,712.000000,736.400000,746.260000,764.246667,831.973333,-36.593086,-34.712066,-3.762041,48.514286,796.575000,934.608693,658.541307,30.725191,34.873033,36.350348,31.918405
2023-10-23,738.800000,769.400000,730.100000,757.800000,741.480000,756.246667,827.776667,-34.388937,-34.647440,0.517007,47.550000,790.240000,922.804366,657.675634,38.925980,37.002448,36.567715,37.871913
2023-10-24,755.000000,776.800000,744.100000,770.400000,750.840000,752.000000,824.196667,-31.265014,-33.970955,5.411881,45.564286,783.875000,906.571834,661.178166,49.443883,42.205844,38.447094,49.723344
2023-10-25,772.800000,781.700000,738.900000,746.100000,753.520000,750.160000,816.766667,-30.399662,-33.256696,5.714069,44.978571,776.435000,888.358155,664.511845,48.786166,38.377466,38.423885,38.284628
