time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2007-06-07,2797.231000,2857.308100,2786.772900,2856.539100,,,,0.000000,0.000000,0.000000,,,,,,,,
2007-06-08,2861.813000,2875.503900,2812.939900,2856.019000,,,,-0.041489,-0.008298,-0.066383,,,,,,,,
2007-06-11,2875.106000,2924.179900,2856.992900,2918.304900,,,,4.895153,0.972392,7.845522,,,,,,,,
2007-06-12,2930.428000,2984.070100,2859.601100,2982.900900,,,,13.860065,3.549927,20.620277,,,,,,,,
2007-06-13,3007.650900,3058.493900,3000.915000,3045.944100,2931.941600,,,25.754994,7.990940,35.528108,,,,,,,,
2007-06-14,3036.345900,3050.991900,2982.805900,3010.165000,2962.666780,,,31.926706,12.778093,38.297225,,,,,,,,
2007-06-15,2984.268100,3046.714100,2973.961900,3035.778100,2998.618600,,,38.441465,17.910768,41.061395,,,,,,,,
2007-06-18,3090.167000,3154.260000,3087.803000,3133.531000,3041.663820,,,50.905495,24.509713,52.791563,,,,,,,,
2007-06-19,3123.886000,3155.969000,3100.833000,3132.304900,3071.544620,,,59.992832,31.606337,56.772989,,,,,,93.590371,93.590371,93.590371
2007-06-20,3133.306900,3150.487100,3050.427000,3059.159900,3074.187780,,,60.593932,37.403856,46.380152,,,,,,80.503049,85.737978,70.033191
2007-06-21,3048.374000,3118.666000,3043.298100,3109.915000,3094.137780,,,64.423191,42.807723,43.230936,,,,,,82.441859,84.176658,78.972261
2007-06-22,3114.819100,3146.000000,2982.231000,3037.509000,3094.483960,,,60.913177,46.428814,28.968727,,,,,,73.132072,79.588907,60.218403
2007-06-25,3054.281000,3082.819100,2927.784900,2942.285900,3056.234940,,,49.872855,47.117622,5.510466,,,,,,47.497255,67.269363,7.953040
2007-06-26,2892.033900,2968.395000,2860.716100,2966.243900,3023.022740,,,42.565858,46.207269,-7.282823,94.127736,,,,58.232343,43.201541,58.474655,12.655313
2007-06-27,2977.194100,3068.320100,2956.808100,3057.336900,3022.658140,3009.595840,,43.622599,45.690335,-4.135472,97.054650,,,,63.255790,51.483777,55.999497,42.452336
2007-06-28,3063.236100,3099.158900,2968.991000,2969.493900,2994.573920,3017.126160,,36.945988,43.941466,-13.990955,101.883500,,,,56.716721,46.405105,52.671514,33.872287
2007-06-29,2904.355000,2986.007100,2889.637900,2915.882100,2970.248540,3021.117033,,27.017263,40.556625,-27.078724,103.898379,,,,49.855104,36.918064,47.280121,16.193949
2007-07-02,2906.137900,2943.730000,2828.358900,2910.886000,2963.968560,3020.622440,,18.531910,36.151682,-35.239545,103.248529,,,,45.362527,33.085356,42.465032,14.326003
2007-07-03,2922.099100,2960.636000,2903.298100,2955.207000,2961.761180,3018.776180,,15.208229,31.962992,-33.509525,101.944593,,,,44.012517,35.395077,40.080816,26.023598
2007-07-04,2961.384000,2965.606000,2864.996100,2877.802000,2925.854200,3007.566707,,6.256135,26.821620,-41.130971,104.260586,2988.660430,3161.663767,2815.657093,41.720577,28.733949,36.269149,13.663548
2007-07-05,2843.688000,2860.095000,2743.422100,2745.974100,2881.150240,2989.953980,,-11.345095,19.188277,-61.066744,108.662564,2983.132180,3179.412116,2786.852244,33.998701,19.346861,30.599253,-3.157923
2007-07-06,2733.688000,2862.121100,2700.756100,2860.735100,2870.120840,2978.284447,,-15.851220,12.180378,-56.063195,111.725643,2983.367985,3179.015243,2787.720727,35.215470,26.306778,29.163510,20.593314
2007-07-09,2883.538100,2953.133100,2858.922100,2939.096900,2875.763020,2965.322173,,-12.949935,7.154315,-40.208501,114.516714,2984.407585,3178.816212,2789.998958,40.336776,37.504784,31.950299,48.613754
2007-07-10,2957.064000,2997.782000,2927.727100,2936.938000,2872.109220,2952.297713,,-10.701491,3.583154,-28.569290,112.373486,2982.109440,3177.676284,2786.542596,43.419886,44.774987,36.231713,61.861535
2007-07-11,2920.737100,2944.946000,2897.314900,2937.597900,2884.068400,2944.193580,,-8.765294,1.113464,-19.757516,110.392286,2976.692130,3170.810826,2782.573434,40.193950,56.441085,42.975015,83.373227
2007-07-12,2945.137000,2985.040000,2932.425000,2969.573000,2928.788180,2934.837447,,-4.597721,-0.028773,-9.137896,102.452714,2974.662530,3168.155458,2781.169602,45.947485,67.802694,51.256511,100.895060
