time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2016-04-26,100.226000,100.226000,100.226000,100.226000,,,,0.000000,0.000000,0.000000,,,,,,,,
2016-04-27,100.230000,100.230000,100.230000,100.230000,,,,0.000319,0.000064,0.000511,,,,,,,,
2016-04-28,100.240000,100.240000,100.240000,100.240000,,,,0.001363,0.000324,0.002079,,,,,,,,
2016-04-29,100.432000,100.432000,100.431000,100.431000,,,,0.017402,0.003739,0.027325,,,,,,,,
2016-05-02,100.431000,100.431000,100.431000,100.431000,100.311600,,,0.029770,0.008945,0.041649,,,,,,,,
2016-05-03,100.575000,100.575000,100.574000,100.574000,100.381200,,,0.050528,0.017262,0.066532,,,,,,,,
2016-05-04,100.688000,100.688000,100.687000,100.687000,100.472600,,,0.075230,0.028856,0.092749,,,,,,,,
2016-05-05,100.616000,100.616000,100.615000,100.615000,100.547600,,,0.087982,0.040681,0.094603,,,,,,,,
2016-05-06,100.467000,100.467000,100.467000,100.467000,100.554800,,,0.085164,0.049578,0.071174,,,,,,52.164502,52.164502,52.164502
2016-05-09,100.649000,100.649000,100.648000,100.648000,100.598200,,,0.096425,0.058947,0.074956,,,,,,75.625626,66.241177,94.394525
2016-05-10,100.669000,100.669000,100.668000,100.668000,100.617000,,,0.105744,0.068306,0.074875,,,,,,85.056721,75.153803,104.862556
2016-05-11,100.640000,100.640000,100.640000,100.640000,100.607600,,,0.109607,0.076566,0.066080,,,,,,83.505773,78.623083,93.271153
2016-05-12,100.694000,100.694000,100.693000,100.693000,100.623200,,,0.115612,0.084375,0.062472,,,,,,89.691716,82.872179,103.330789
2016-05-13,100.672000,100.672000,100.672000,100.672000,100.664200,,,0.117324,0.090965,0.052717,0.070714,,,,72.662602,89.917049,85.446470,98.858209
2016-05-16,100.509000,100.509000,100.509000,100.509000,100.636400,100.515400,,0.104325,0.093637,0.021376,0.082357,,,,62.336530,64.632240,78.077080,37.742559
2016-05-17,100.445000,100.445000,100.445000,100.445000,100.591800,100.530000,,0.087847,0.092479,-0.009264,0.086643,,,,58.906379,42.213412,65.637137,-4.634037
2016-05-18,100.237000,100.237000,100.237000,100.237000,100.511200,100.530467,,0.057343,0.085452,-0.056218,0.100786,,,,49.893238,27.766477,52.676446,-22.053462
