time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2005-01-05,1141,1152,1141,1151,,,,0.000000,0.000000,0.000000,,,,,,,,
2005-01-06,1151,1157,1151,1154,,,,0.239316,0.047863,0.382906,,,,,,,,
2005-01-07,1162,1164,1156,1158,,,,0.743176,0.186926,1.112500,,,,,,,,
2005-01-10,1158,1159,1152,1155,,,,0.890152,0.327571,1.125162,,,,,,,,
2005-01-11,1156,1158,1154,1155,1154.600000,,,0.995160,0.461089,1.068143,,,,,,,,
2005-01-12,1153,1158,1153,1157,1155.800000,,,1.225635,0.613998,1.223274,,,,,,,,
2005-01-13,1150,1156,1149,1155,1156.000000,,,1.232695,0.737737,0.989915,,,,,,,,
2005-01-14,1155,1157,1154,1156,1155.600000,,,1.303950,0.850980,0.905940,,,,,,,,
2005-01-17,1151,1156,1151,1156,1155.800000,,,1.344917,0.949767,0.790300,,,,,,65.217391,65.217391,65.217391
2005-01-18,1158,1158,1154,1156,1156.000000,,,1.361687,1.032151,0.659072,,,,,,54.086957,58.539130,45.182609
2005-01-19,1155,1160,1154,1158,1156.200000,,,1.518853,1.129492,0.778722,,,,,,56.887872,57.756955,55.149705
2005-01-20,1158,1159,1155,1156,1156.400000,,,1.465135,1.196620,0.537029,,,,,,59.691092,58.560366,61.952543
2005-01-21,1157,1158,1155,1156,1156.400000,,,1.406351,1.238566,0.335570,,,,,,61.205627,59.575845,64.465191
2005-01-24,1155,1157,1154,1157,1156.600000,,,1.424041,1.275661,0.296760,5.642857,,,,65.000000,65.415792,61.709841,72.827695
2005-01-25,1155,1159,1155,1158,1157.000000,1155.866667,,1.501445,1.320818,0.361253,5.142857,,,,66.666667,71.223146,65.078078,83.513284
2005-01-26,1159,1160,1157,1157,1156.800000,1156.266667,,1.465206,1.349696,0.231020,4.928571,,,,57.894737,69.642651,66.661380,75.605193
2005-01-27,1157,1158,1154,1155,1156.600000,1156.333333,,1.260572,1.331871,-0.142598,4.500000,,,,41.176471,61.018926,64.730331,53.596116
2005-01-28,1153,1155,1150,1153,1156.000000,1156.000000,,0.926336,1.250764,-0.648855,4.357143,,,,43.750000,50.496815,59.902097,31.686250
2005-01-31,1153,1153,1147,1148,1154.200000,1155.533333,,0.255054,1.051622,-1.593136,4.500000,,,,33.333333,36.061762,51.862371,4.460543
