time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2010-01-04,24595,24750,24330,24585,,,,0.000000,0.000000,0.000000,,,,,,,,
2010-01-05,24545,24880,24465,24730,,,,11.566952,2.313390,18.507123,,,,,,,,
2010-01-06,24680,25145,24635,24925,,,,36.053116,9.061336,53.983562,,,,,,,,
2010-01-07,25465,25740,24400,25100,,,,68.786686,21.006406,95.560561,,,,,,,,
2010-01-08,25030,25380,24500,25015,24871.000000,,,86.868124,34.178749,105.378750,,,,,,,,
2010-01-11,25760,26170,25480,25710,25096.000000,,,155.486139,58.440227,194.091823,,,,,,,,
2010-01-12,25980,26100,25660,25890,25328.000000,,,221.833744,91.118931,261.429626,,,,,,,,
2010-01-13,25100,25780,24910,25445,25432.000000,,,235.788890,120.052922,231.471936,,,,,,,,
2010-01-14,25890,25960,25555,25775,25567.000000,,,270.360143,150.114367,240.491553,,,,,,78.532609,78.532609,78.532609
2010-01-15,25500,25590,24820,25290,25622.000000,,,255.675397,171.226573,168.897648,,,,,,61.582535,68.362564,48.022476
2010-01-18,24790,24920,24575,24775,25435.000000,,,200.173952,177.016049,46.315808,,,,,,42.447543,56.087028,15.168573
2010-01-19,25005,25405,24800,25045,25266.000000,,,175.947192,176.802277,-1.710171,,,,,,39.952384,49.384945,21.087261
2010-01-20,25540,25605,25235,25445,25266.000000,,,186.869847,178.815791,16.108112,,,,,,46.338118,48.215310,42.583733
2010-01-21,25170,25750,24955,25350,25181.000000,,,185.719565,180.196546,11.046038,736.428571,,,,59.526775,47.160745,47.829958,45.822321
2010-01-22,24915,25155,24105,24660,25055.000000,25182.666667,,127.659149,169.689067,-84.059835,795.357143,,,,50.797024,40.312891,45.168500,30.601673
2010-01-25,24350,24745,24305,24590,25018.000000,25183.000000,,75.131369,150.777527,-151.292317,797.142857,,,,48.488121,35.398701,41.779673,22.636755
2010-01-26,24895,24895,24015,24465,24902.000000,25165.333333,,23.149417,125.251905,-204.204976,823.571429,,,,44.956140,31.202052,38.159634,17.286887
2010-01-27,24095,24250,23655,23955,24604.000000,25100.666667,,-58.524755,88.496573,-294.042656,785.714286,,,,38.304392,25.475327,33.856916,8.712150
2010-01-28,23355,23505,22760,23145,24163.000000,24970.333333,,-186.462927,33.504673,-439.935200,808.214286,,,,33.362989,21.226516,29.597540,4.484467
2010-01-29,23165,23460,22845,23195,23870.000000,24849.000000,,-280.585849,-29.313431,-502.544835,769.642857,24854.500000,26358.928201,23350.071799,24.723618,18.983219,26.031952,4.885753
2010-02-01,23115,23245,22250,22675,23487.000000,24646.666667,,-392.612801,-101.973305,-581.278991,809.285714,24759.000000,26550.552106,22967.447894,19.755409,16.691322,22.902328,4.269311
2010-02-02,23450,23520,22875,23150,23224.000000,24464.000000,,-438.017247,-169.182093,-537.670306,799.642857,24680.000000,26610.862910,22749.137090,28.531338,19.709315,21.834332,15.459281
2010-02-03,23245,23620,23040,23345,23102.000000,24324.000000,,-453.043325,-225.954340,-454.177971,804.285714,24601.000000,26617.065997,22584.934003,26.679463,25.717808,23.131787,30.889851
2010-02-04,23060,23390,22850,23115,23096.000000,24146.666667,,-478.000586,-276.363589,-403.273993,774.642857,24501.750000,26607.814614,22395.685386,28.052472,28.049827,24.773633,34.602215
2010-02-05,22110,22375,22000,22190,22895.000000,23940.000000,,-565.895869,-334.270045,-463.251647,803.214286,24360.500000,26688.833264,22032.166736,25.908667,20.880288,23.474533,15.691798
2010-02-08,22300,22385,21965,22175,22795.000000,23766.666667,,-629.507320,-393.317500,-472.379639,788.214286,24183.750000,26615.160409,21752.339591,21.917808,16.981011,21.308560,8.325913
2010-02-09,22000,22455,21650,22175,22600.000000,23575.333333,,-672.171478,-449.088296,-446.166365,805.714286,23998.000000,26448.115787,21547.884213,15.286624,20.205377,20.940666,18.734799
2010-02-10,22660,23280,22555,22780,22487.000000,23397.666667,,-649.675631,-489.205763,-320.939737,827.857143,23864.750000,26273.032802,21456.467198,25.383142,32.594112,24.826317,48.129703
2010-02-11,23495,23955,23270,23665,22597.000000,23285.333333,,-554.048679,-502.174346,-103.748666,822.857143,23759.250000,25993.783449,21524.716551,40.812558,50.872625,33.510160,85.597553
2010-02-12,24070,24370,23825,24045,22968.000000,23244.333333,24213.500000,-442.499942,-490.239465,95.479047,841.785714,23697.000000,25818.487562,21575.512438,45.240175,63.267230,43.430510,102.940671
2010-02-22,25075,25380,24660,24995,23532.000000,23271.333333,24227.166667,-274.277997,-447.047172,345.538348,874.285714,23708.000000,25855.148415,21560.851585,54.045802,72.071699,52.978423,110.258250
2010-02-23,24680,25135,24565,24855,24068.000000,23297.333333,24231.333333,-150.522594,-387.742256,474.439325,857.142857,23698.500000,25822.295262,21574.704738,57.281553,76.689718,60.882658,108.303838
2010-02-24,24870,25285,24770,25055,24523.000000,23370.666667,24235.666667,-35.893459,-317.372496,562.958076,808.571429,23679.000000,25741.554880,21616.445120,67.145422,81.555626,67.773920,109.119037
2010-02-25,25155,25450,24635,24970,24784.000000,23492.333333,24231.333333,47.544108,-244.389176,583.866567,822.857143,23660.000000,25663.909337,21656.090663,65.834077,83.493275,73.013844,104.452139
2010-02-26,24795,25020,24685,24850,24945.000000,23602.666667,24225.833333,102.800958,-174.951149,555.504214,775.714286,23669.500000,25695.054895,21643.945105,70.893372,83.732363,76.586746,98.023597
2010-03-01,25300,25580,24630,24865,24919.000000,23748.666667,24197.666667,146.118423,-110.737234,513.711315,783.214286,23683.250000,25738.628759,21627.871241,68.071654,81.276092,78.149880,87.528517
2010-03-02,24600,24600,23760,24225,24793.000000,23820.333333,24142.166667,127.337309,-63.122326,380.919269,820.714286,23671.250000,25710.147729,21632.352271,58.477842,67.964621,74.754767,54.384329
2010-03-03,23995,24070,23760,23925,24567.000000,23859.000000,24091.500000,87.240000,-33.049861,240.579721,815.357143,23669.750000,25707.812741,21631.687259,57.699620,48.331623,65.947006,13.100856
2010-03-04,24100,24220,23620,23910,24355.000000,23912.000000,24029.333333,53.633960,-15.713097,138.694112,778.571429,23708.000000,25733.270352,21682.729648,69.770115,37.153016,56.348976,-1.238905
2010-03-05,23775,24050,23630,23830,24151.000000,24021.333333,23980.666667,20.311461,-8.508185,57.639293,778.571429,23739.750000,25751.019500,21728.480500,68.742922,28.340085,47.012658,-9.005059
2010-03-08,24080,24530,23925,24225,24023.000000,24158.000000,23962.333333,25.482593,-1.710029,54.385245,771.071429,23817.250000,25774.496925,21860.003075,71.309771,29.182507,41.069265,5.408992
2010-03-09,24325,24495,24170,24310,24040.000000,24300.333333,23937.833333,36.024276,5.836832,60.374889,715.357143,23875.250000,25817.937978,21932.562022,67.832168,31.189701,37.776074,18.016955
2010-03-10,24000,24380,24000,24260,24107.000000,24399.000000,23898.333333,39.884292,12.646324,54.475937,658.571429,23921.000000,25854.182813,21987.817187,58.610709,31.677488,35.743210,23.546043
2010-03-11,24265,24385,23790,24035,24132.000000,24423.666667,23854.500000,24.505282,15.018115,18.974333,650.714286,23967.000000,25862.852537,22071.147463,49.848485,28.176147,33.220855,18.086731
2010-03-12,24025,24120,23550,23790,24124.000000,24406.666667,23825.500000,-7.367222,10.541048,-35.816540,596.071429,24047.000000,25752.614259,22341.385741,26.782274,26.403145,30.948284,17.312867
2010-03-15,23700,23700,23035,23215,23922.000000,24288.000000,23779.666667,-78.123546,-7.191871,-141.863351,609.285714,24099.000000,25617.453507,22580.546493,22.937294,21.615474,27.837347,9.171728
2010-03-16,22900,23350,22800,23155,23691.000000,24174.666667,23736.000000,-137.455441,-33.244585,-208.421712,611.785714,24148.000000,25453.326739,22842.673261,17.128028,21.250393,25.641695,12.467788
2010-03-17,23400,23720,23280,23520,23543.000000,24072.333333,23721.500000,-153.257290,-57.247126,-192.020329,593.928571,24185.000000,25362.776674,23007.223326,27.129338,28.039761,26.441051,31.237183
2010-03-18,23520,24070,23505,23750,23486.000000,23991.000000,23741.666667,-145.543557,-74.906412,-141.274289,610.357143,24189.250000,25359.716731,23018.783269,33.231707,36.997606,29.959903,51.073014
2010-03-19,23630,24150,23600,23910,23510.000000,23928.333333,23765.500000,-125.077884,-84.940707,-80.274356,581.785714,24182.500000,25358.015564,23006.984436,36.058394,46.493980,35.471262,68.539416
2010-03-22,23850,24040,23790,23935,23654.000000,23866.333333,23807.500000,-105.623835,-89.077332,-33.093005,520.714286,24129.500000,25244.813975,23014.186025,44.839858,54.865598,41.936041,80.724712
2010-03-23,24010,24035,23545,23750,23773.000000,23834.666667,23827.500000,-103.936202,-92.049106,-23.774192,522.500000,24074.250000,25146.901780,23001.598220,46.753247,56.556035,46.809372,76.049360
2010-03-24,23705,23995,23545,23775,23824.000000,23824.666667,23841.833333,-99.435223,-93.526330,-11.817787,511.785714,24010.250000,24984.769990,23035.730010,47.504621,61.778097,51.798947,81.736397
2010-03-25,23975,24750,23825,24350,23944.000000,23854.000000,23883.000000,-48.906704,-84.602404,71.391401,551.428571,23979.250000,24860.172214,23098.327786,58.125000,67.681125,57.093006,88.857361
2010-03-26,24885,24945,24590,24790,24120.000000,23918.000000,23969.666667,26.338224,-62.414279,177.505005,543.928571,23976.250000,24845.011217,23107.488783,58.705701,76.045381,63.410465,101.315213
2010-03-29,25000,25200,24880,25040,24341.000000,23972.333333,24065.166667,104.933671,-28.944689,267.756720,550.000000,23985.000000,24894.042295,23075.957705,60.703812,81.252476,69.357802,105.041825
2010-03-30,25010,25150,24860,25020,24595.000000,24019.666667,24160.000000,163.720035,9.588256,308.263557,543.571429,24024.750000,25041.165140,23008.334860,61.242604,83.961828,74.225810,103.433862
2010-03-31,25020,25090,24460,24770,24794.000000,24053.666667,24226.333333,187.968951,45.264395,285.409112,546.071429,24067.000000,25134.902026,22999.097974,60.792952,80.647261,76.366294,89.209195
2010-04-01,24600,24850,24540,24705,24865.000000,24098.333333,24261.000000,199.640109,76.139538,247.001142,527.500000,24106.750000,25208.687409,23004.812591,64.186047,77.128385,76.620324,78.144507
2010-04-02,24800,25095,24780,24935,24894.000000,24174.666667,24290.666667,224.856655,105.882961,237.947388,501.428571,24162.000000,25315.130293,23008.869707,79.861111,79.414895,77.551848,83.140990
2010-04-06,25080,26010,24865,25505,24987.000000,24327.333333,24307.666667,287.520825,142.210534,290.620583,543.928571,24226.000000,25526.516497,22925.483503,84.660767,79.447658,78.183785,81.975406
2010-04-07,25480,25615,25335,25505,25084.000000,24484.000000,24329.333333,333.340094,180.436446,305.807297,523.571429,24285.750000,25706.740296,22864.759704,82.809917,78.594396,78.320655,79.141878
2010-04-08,25400,25470,25045,25240,25178.000000,24598.666667,24335.500000,344.300034,213.209164,262.181740,516.071429,24334.750000,25818.214916,22851.285084,74.346405,69.170458,75.270589,56.970194
2010-04-09,25200,25340,25105,25220,25281.000000,24696.666667,24343.833333,347.367792,240.040889,214.653805,493.571429,24394.000000,25921.073569,22866.926431,72.431507,62.457724,70.999634,45.373905
2010-04-12,25550,25835,25400,25595,25413.000000,24809.000000,24368.666667,375.727229,267.178157,217.098143,519.642857,24484.250000,26073.123401,22895.376599,75.382263,66.047085,69.348785,59.443686
2010-04-13,25400,25575,25205,25370,25386.000000,24904.666667,24385.500000,375.715651,288.885656,173.659990,512.500000,24592.000000,26109.117766,23074.882234,74.471299,63.601283,67.432951,55.937946
2010-04-14,25500,25715,25465,25575,25400.000000,25026.333333,24430.500000,387.778197,308.664164,158.228065,505.000000,24713.000000,26130.285768,23295.714232,75.787966,65.870243,66.912048,63.786632
2010-04-15,25900,25900,25615,25750,25502.000000,25158.000000,24491.333333,406.769898,328.285311,156.969175,458.571429,24824.500000,26196.766278,23452.233722,72.653722,70.200758,68.008285,74.585705
2010-04-16,25700,25750,25180,25350,25528.000000,25224.666667,24539.333333,385.105050,339.649259,90.911583,456.785714,24904.500000,26197.264887,23611.735113,59.180328,60.919865,65.645478,51.468639
2010-04-19,24730,24790,24200,24535,25316.000000,25207.666667,24562.833333,298.728260,331.465059,-65.473598,509.642857,24935.750000,26155.444850,23716.055150,43.015214,47.181871,59.490942,22.563728
2010-04-20,24620,24765,24505,24605,25163.000000,25178.666667,24575.500000,233.233871,311.818821,-157.169900,507.500000,24969.250000,26107.282813,23831.217187,44.338336,39.395757,52.792547,12.602176
2010-04-21,24745,24850,24555,24700,24988.000000,25157.333333,24588.500000,186.841016,286.823260,-199.964489,483.571429,25016.750000,26010.690986,24022.809014,49.002849,36.067760,47.217618,13.768043
2010-04-22,24300,24400,24085,24260,24690.000000,25123.333333,24588.500000,113.264379,252.111484,-277.694210,505.357143,25041.000000,25924.959990,24157.040010,44.272844,27.259131,40.564789,0.647815
2010-04-23,24340,24485,24260,24375,24495.000000,25101.333333,24599.833333,63.501893,214.389566,-301.775345,493.571429,25042.250000,25922.157142,24162.342858,42.572944,23.498741,34.876106,0.744010
2010-04-26,24615,24680,24385,24535,24495.000000,25074.666667,24624.666667,36.554055,178.822464,-284.536817,433.571429,25029.500000,25931.899725,24127.100275,35.565476,23.930290,31.227501,9.335869
2010-04-27,24335,24340,23735,23945,24363.000000,24970.666667,24649.000000,-32.041021,136.649767,-337.381575,470.714286,24974.750000,25999.098188,23950.401812,30.253165,19.186783,27.213928,3.132493
2010-04-28,23005,23600,23005,23385,24100.000000,24829.333333,24656.666667,-130.090826,83.301648,-426.784949,505.000000,24893.000000,26139.107202,23646.892798,28.150766,17.405639,23.944499,4.327921
2010-04-29,23650,23660,23350,23475,23943.000000,24711.666667,24655.166667,-198.248471,26.991624,-450.480191,510.357143,24828.250000,26226.554518,23429.945482,29.779838,20.095178,22.661392,14.962750
2010-04-30,23500,23655,22825,23295,23727.000000,24583.333333,24640.000000,-263.748068,-31.156314,-465.183507,525.714286,24757.750000,26315.327319,23200.172681,22.087379,21.133411,22.152065,19.096103
2010-05-04,23420,23480,23165,23295,23479.000000,24430.000000,24619.500000,-312.059740,-87.336999,-449.445481,520.357143,24675.750000,26361.446092,22990.053908,23.363286,21.825566,22.043232,21.390234
2010-05-05,22700,22985,22610,22860,23262.000000,24262.666667,24583.666667,-381.055383,-146.080676,-469.949414,544.642857,24543.500000,26364.832942,22722.167058,17.090909,18.576142,20.887535,13.953356
2010-05-06,22905,23055,22585,22810,23147.000000,24078.333333,24552.333333,-434.757891,-203.816119,-461.883544,555.000000,24408.750000,26326.772213,22490.727787,13.250000,15.964047,19.246373,9.399396
2010-05-07,22300,22450,22000,22235,22899.000000,23844.000000,24501.000000,-517.746946,-266.602284,-502.289323,572.142857,24258.500000,26363.984317,22153.015683,12.694611,13.565584,17.352776,5.991198
2010-05-10,22490,22590,22235,22425,22725.000000,23649.000000,24436.833333,-561.709915,-325.623810,-472.172209,515.357143,24118.750000,26324.183183,21913.316817,20.281690,15.097853,16.601135,12.091290
2010-05-11,22560,22670,21910,22365,22539.000000,23504.333333,24356.000000,-594.538909,-379.406830,-430.264158,551.071429,23957.250000,26180.494369,21734.005631,18.361582,18.731902,17.311391,21.572925
2010-05-12,21910,22455,21890,22205,22408.000000,23344.333333,24261.500000,-626.247791,-428.775022,-394.945538,570.357143,23799.000000,26049.241157,21548.758843,15.395284,18.420138,17.680973,19.898468
2010-05-13,22390,22485,22180,22345,22315.000000,23187.333333,24172.333333,-632.786115,-469.577241,-326.417748,548.214286,23637.500000,25813.460768,21461.539232,21.028744,20.873104,18.745017,25.129279
2010-05-14,22240,22280,21725,21985,22265.000000,23035.666667,24079.500000,-659.415444,-507.544881,-303.741125,576.428571,23449.250000,25503.752821,21394.747179,16.338028,18.853675,18.781236,18.998551
2010-05-17,21450,21590,20890,21245,22029.000000,22827.000000,23964.166667,-731.795511,-552.395007,-358.801008,632.857143,23244.000000,25319.063981,21168.936019,10.169492,18.034859,18.532444,17.039690
2010-05-18,21245,21865,21065,21475,21851.000000,22623.000000,23848.833333,-761.816413,-594.279288,-335.074249,632.857143,23091.000000,25215.913868,20966.086132,17.241379,21.030168,19.365019,24.360467
2010-05-19,21420,22150,21290,21730,21756.000000,22475.333333,23723.000000,-756.313514,-626.686134,-259.254760,627.142857,22947.250000,25029.471675,20865.028325,26.118326,29.750449,22.826829,43.597690
2010-05-20,22145,22375,21570,21980,21683.000000,22381.666667,23605.500000,-723.440148,-646.036936,-154.806423,662.500000,22811.250000,24762.651318,20859.848682,29.379310,40.245618,28.633092,63.470670
2010-05-21,21450,21760,21300,21505,21587.000000,22250.333333,23481.000000,-727.332068,-662.295963,-130.072210,651.785714,22673.500000,24582.798852,20764.201148,27.168367,38.347266,31.871150,51.299498
2010-05-24,21810,22230,21760,22020,21742.000000,22165.333333,23374.333333,-681.009987,-666.038767,-29.942439,681.071429,22555.750000,24307.165292,20804.334708,35.625705,49.180309,37.640869,72.259188
2010-05-25,21945,22225,21875,22005,21848.000000,22079.333333,23254.666667,-638.153542,-660.461722,44.616361,657.142857,22429.250000,23925.650154,20932.849846,39.352428,56.088858,43.790199,80.686176
2010-05-26,22305,22560,22280,22410,21984.000000,22049.333333,23156.000000,-564.996458,-641.368670,152.744423,663.214286,22352.500000,23668.100723,21036.899277,45.423341,67.731893,51.770764,99.654152
2010-05-27,22360,22895,22320,22585,22105.000000,22034.333333,23056.333333,-487.280834,-610.551102,246.540537,646.428571,22312.500000,23541.733822,21083.266178,54.408060,73.334147,58.958558,102.085324
2010-05-28,23085,23085,22780,22905,22385.000000,22079.000000,22961.500000,-395.312401,-567.503362,344.381922,656.785714,22284.000000,23422.857230,21145.142770,55.853659,79.252467,65.723194,106.311013
2010-05-31,22840,23060,22600,22885,22558.000000,22109.666667,22879.333333,-320.347819,-518.072253,395.448870,635.357143,22263.500000,23338.714055,21188.285945,56.403941,82.454291,71.300227,104.762420
2010-06-01,22900,22935,22535,22720,22701.000000,22133.333333,22818.833333,-271.126589,-468.683121,395.113063,623.571429,22234.750000,23220.893339,21248.606661,56.334563,81.486801,74.695751,95.068900
2010-06-02,22560,22610,21620,22115,22642.000000,22127.333333,22735.833333,-277.735294,-430.493555,305.516522,680.357143,22197.500000,23139.493966,21255.506034,47.461369,69.543955,72.978486,62.674893
2010-06-03,22100,22240,21760,21940,22513.000000,22100.333333,22643.833333,-293.708094,-403.136463,218.856738,670.357143,22154.000000,23056.421304,21251.578696,49.482163,53.643638,66.533537,27.863840
2010-06-04,21560,21920,21390,21645,22261.000000,22077.666667,22556.666667,-326.408059,-387.790782,122.765447,631.428571,22124.500000,23053.941825,21195.058175,55.128205,40.777175,57.948083,6.435358
2010-06-07,20800,20880,20560,20625,21809.000000,22036.333333,22431.666667,-429.675460,-396.167718,-67.015485,651.785714,22034.500000,23167.687865,20901.312135,40.938166,28.042869,47.979678,-11.830750
2010-06-08,20620,21000,20490,20710,21407.000000,21985.333333,22304.166667,-498.905756,-416.715325,-164.380861,626.785714,21951.750000,23217.298664,20686.201336,38.716814,21.521193,39.160183,-13.756787
2010-06-09,20780,21395,20735,20980,21180.000000,21935.333333,22205.333333,-525.922018,-438.556664,-174.730709,618.214286,21890.500000,23221.332347,20559.667653,38.986784,20.641618,32.987328,-4.049803
2010-06-10,21300,21720,21245,21435,21079.000000,21899.000000,22140.333333,-504.798896,-451.805110,-105.987572,622.500000,21845.000000,23172.625502,20517.374498,49.225664,26.017888,30.664181,16.725301
2010-06-11,21670,22100,21665,21825,21115.000000,21920.333333,22085.333333,-451.385637,-451.721216,0.671158,618.214286,21837.000000,23163.000714,20510.999286,47.781570,35.545667,32.291343,42.054316
