time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2006-01-03,4.370000,4.370000,4.370000,4.370000,,,,0.000000,0.000000,0.000000,,,,,,,,
2006-01-04,4.348000,4.348000,4.348000,4.348000,,,,-0.001755,-0.000351,-0.002808,,,,,,,,
2006-01-05,4.358000,4.358000,4.358000,4.358000,,,,-0.002312,-0.000743,-0.003138,,,,,,,,
2006-01-06,4.383000,4.383000,4.383000,4.383000,,,,-0.000728,-0.000740,0.000024,,,,,,,,
2006-01-09,4.373000,4.373000,4.373000,4.373000,4.366400,,,-0.000277,-0.000648,0.000742,,,,,,,,
2006-01-10,4.430000,4.430000,4.430000,4.430000,4.378400,,,0.004627,0.000407,0.008440,,,,,,,,
2006-01-11,4.458000,4.458000,4.458000,4.458000,4.400400,,,0.010650,0.002456,0.016389,,,,,,,,
2006-01-12,4.408000,4.408000,4.408000,4.408000,4.410400,,,0.011259,0.004217,0.014085,,,,,,,,
2006-01-13,4.357000,4.357000,4.357000,4.357000,4.405200,,,0.007540,0.004881,0.005317,,,,,,8.181818,8.181818,8.181818
2006-01-16,4.367000,4.367000,4.367000,4.367000,4.404000,,,0.005337,0.004973,0.000730,,,,,,13.636364,11.454545,18.000000
2006-01-17,4.330000,4.330000,4.330000,4.330000,4.384000,,,0.000599,0.004098,-0.006997,,,,,,7.177033,9.428356,2.674389
2006-01-18,4.338000,4.338000,4.338000,4.338000,4.360000,,,-0.002481,0.002782,-0.010527,,,,,,6.791958,8.333237,3.709401
2006-01-19,4.377000,4.377000,4.377000,4.377000,4.353800,,,-0.001755,0.001875,-0.007260,,,,,,18.280442,12.151832,30.537662
2006-01-20,4.355000,4.355000,4.355000,4.355000,4.353400,,,-0.002922,0.000915,-0.007674,0.026357,,,,47.967480,18.737504,14.558326,27.095861
2006-01-23,4.361000,4.361000,4.361000,4.361000,4.352200,4.374200,,-0.003324,0.000067,-0.006783,0.026786,,,,48.800000,20.678169,16.725089,28.584328
