time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2022-08-05,579.000000,579.000000,579.000000,579.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2022-08-08,566.500000,634.500000,566.500000,621.000000,,,,3.350427,0.670085,5.360684,,,,,,,,
2022-08-09,638.500000,645.500000,630.000000,630.000000,,,,6.655173,1.867103,9.576140,,,,,,,,
2022-08-10,689.500000,692.500000,689.500000,692.500000,,,,14.154274,4.324537,19.659474,,,,,,,,
2022-08-11,711.500000,711.500000,695.000000,695.000000,643.500000,,,20.067766,7.473183,25.189166,,,,,,,,
2022-08-12,710.000000,710.000000,685.000000,694.500000,666.600000,,,24.432265,10.864999,27.134532,,,,,,,,
2022-08-15,695.000000,695.000000,693.000000,695.000000,681.400000,,,27.613200,14.214640,26.797121,,,,,,,,
2022-08-16,685.000000,690.000000,660.000000,690.000000,693.400000,,,29.391845,17.250081,24.283529,,,,,,,,
2022-08-17,690.000000,690.000000,690.000000,690.000000,692.900000,,,30.450421,19.890149,21.120544,,,,,,85.172414,85.172414,85.172414
2022-08-18,669.500000,669.500000,669.500000,669.500000,687.800000,,,29.297448,21.771609,15.051678,,,,,,76.689655,80.082759,69.903448
2022-08-19,650.000000,650.000000,627.000000,627.000000,674.300000,,,24.669934,22.351274,4.637321,,,,,,40.362976,61.268125,-1.447321
2022-08-22,625.000000,625.000000,610.000000,610.000000,657.300000,,,19.407125,21.762444,-4.710638,,,,,,23.596817,45.620043,-20.449635
2022-08-23,620.000000,620.000000,620.000000,620.000000,643.300000,,,15.860398,20.582035,-9.443273,,,,,,18.320454,35.140106,-15.318851
2022-08-24,608.000000,608.000000,608.000000,608.000000,626.900000,,,11.943614,18.854351,-13.821474,24.142857,,,,56.473214,11.625912,26.547701,-18.217666
2022-08-25,608.000000,608.000000,608.000000,608.000000,614.600000,648.633333,,8.738798,16.831240,-16.184884,24.142857,,,,56.473214,7.509696,19.807193,-17.085300
2022-08-26,608.000000,608.000000,608.000000,608.000000,610.800000,650.566667,,6.128316,14.690655,-17.124679,19.285714,,,,46.428571,4.904826,14.638045,-14.561613
2022-08-29,630.000000,630.000000,630.000000,630.000000,614.800000,651.166667,,5.768213,12.906167,-14.275908,19.107143,,,,50.000000,12.408152,13.874896,9.474663
2022-08-30,630.000000,630.000000,630.000000,630.000000,616.800000,651.166667,,5.420347,11.409003,-11.977312,14.642857,,,,26.415094,20.333661,16.065812,28.869360
2022-08-31,630.000000,630.000000,630.000000,630.000000,621.200000,647.000000,,5.086032,10.144409,-10.116754,13.285714,,,,25.000000,31.141036,21.149661,51.123786
2022-09-01,623.000000,623.000000,605.000000,605.000000,620.600000,641.000000,,2.771841,8.669895,-11.796108,13.285714,641.625000,718.185176,565.064824,21.035599,20.680064,20.991913,20.056367
2022-09-02,585.500000,585.500000,585.500000,585.500000,616.100000,633.733333,,-0.628414,6.810233,-14.877295,14.535714,641.950000,717.438514,566.461486,18.443804,13.751107,18.565845,4.121630
2022-09-06,604.000000,604.000000,604.000000,604.000000,610.900000,627.666667,,-1.809487,5.086289,-13.791553,13.357143,641.100000,717.952285,564.247715,27.005348,23.056960,20.068029,29.034821
2022-09-07,604.000000,604.500000,604.000000,604.500000,605.800000,621.966667,,-2.674322,3.534167,-12.416978,13.392857,639.825000,718.282011,561.367989,27.200000,29.618500,23.258806,42.337889
2022-09-08,610.000000,610.000000,610.000000,610.000000,601.800000,616.633333,,-2.882677,2.250798,-10.266950,12.321429,635.700000,711.112131,560.287869,32.753623,38.110656,28.216971,57.898025
2022-09-09,610.000000,610.000000,610.000000,610.000000,602.800000,612.666667,,-3.013066,1.198025,-8.422183,9.285714,631.450000,702.229048,560.670952,43.461538,43.764903,33.404880,64.484947
2022-09-12,655.000000,655.000000,655.000000,655.000000,616.700000,614.533333,,0.508857,1.060192,-1.102669,11.285714,629.475000,694.843973,564.106027,64.240506,62.522627,43.117368,101.333146
2022-09-13,650.000000,650.000000,639.000000,639.000000,623.700000,616.466667,,1.986047,1.245363,1.481368,11.714286,626.675000,684.599883,568.750117,55.792683,67.343399,51.196356,99.637484
2022-09-14,620.000000,629.500000,620.000000,622.500000,627.300000,616.633333,,1.804517,1.357194,0.894646,12.214286,623.300000,672.966678,573.633322,54.302671,62.639988,55.012047,77.895869
2022-09-15,587.500000,587.500000,587.500000,587.500000,622.800000,615.266667,,-1.150295,0.855696,-4.011981,14.714286,618.175000,659.277279,577.072721,44.963145,42.715230,50.912286,26.321117
2022-09-16,577.000000,577.000000,573.000000,577.000000,616.200000,613.200000,630.916667,-4.289816,-0.173407,-8.232819,15.750000,613.550000,650.988933,576.111067,42.757009,30.101150,43.974314,2.354824
2022-09-19,571.500000,572.500000,571.500000,572.500000,599.700000,610.833333,630.700000,-7.059643,-1.550654,-11.017978,14.571429,610.825000,651.899099,569.750901,35.368957,20.465777,36.137436,-10.877543
2022-09-20,595.000000,615.000000,595.000000,610.000000,593.900000,609.500000,630.333333,-6.157830,-2.472089,-7.371482,17.607143,610.825000,651.899099,569.750901,45.726496,29.013620,33.762690,19.515481
