time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2008-01-14,92.920000,94.430000,92.410000,94.200000,,,,0.000000,0.000000,0.000000,,,,,,,,
2008-01-15,94.240000,94.380000,90.980000,91.900000,,,,-0.183476,-0.036695,-0.293561,,,,,,,,
2008-01-16,91.680000,91.900000,89.260000,90.840000,,,,-0.409692,-0.111295,-0.596795,,,,,,,,
2008-01-17,90.570000,91.660000,89.000000,89.570000,,,,-0.683569,-0.225749,-0.915639,,,,,,,,
2008-01-18,89.380000,90.800000,89.100000,89.920000,91.286000,,,-0.862434,-0.353086,-1.018696,,,,,,,,
2008-01-22,89.920000,90.340000,85.420000,89.210000,90.288000,,,-1.049381,-0.492345,-1.114072,,,,,,,,
2008-01-23,89.150000,89.440000,86.650000,86.990000,89.306000,,,-1.360985,-0.666073,-1.389823,,,,,,,,
2008-01-24,87.720000,89.750000,87.010000,89.410000,89.020000,,,-1.396560,-0.812171,-1.168779,,,,,,,,
2008-01-25,89.550000,91.380000,89.510000,90.710000,89.248000,,,-1.304814,-0.910699,-0.788229,,,,,,58.712542,58.712542,58.712542
2008-01-28,90.620000,91.360000,88.780000,90.990000,89.462000,,,-1.195727,-0.967705,-0.456044,,,,,,60.784124,59.955491,62.441390
2008-01-29,91.050000,92.420000,90.330000,91.640000,89.948000,,,-1.044782,-0.983120,-0.123323,,,,,,74.081870,66.646933,88.951742
2008-01-30,92.370000,92.710000,91.240000,92.330000,91.016000,,,-0.859571,-0.958410,0.197679,,,,,,82.682620,73.307911,101.432038
2008-01-31,91.770000,92.300000,89.580000,91.750000,91.484000,,,-0.750934,-0.916915,0.331961,,,,,,84.275232,77.518115,97.789466
2008-02-01,91.360000,92.120000,88.460000,88.960000,91.134000,,,-0.879827,-0.909497,0.059341,2.672143,,,,34.235860,71.224283,75.218263,63.236321
2008-02-04,88.660000,90.830000,88.070000,90.020000,90.940000,90.562667,,-0.886226,-0.904843,0.037234,2.725000,,,,38.178733,65.696161,71.846912,53.394658
2008-02-05,89.980000,90.000000,87.530000,88.410000,90.294000,90.176667,,-1.009573,-0.925789,-0.167568,2.660000,,,,39.729253,51.427848,64.764201,24.755141
2008-02-06,88.270000,88.940000,86.660000,87.140000,89.256000,89.859333,,-1.196019,-0.979835,-0.432367,2.634286,,,,39.244186,36.542662,55.105784,-0.583581
2008-02-07,87.060000,88.400000,86.240000,88.110000,88.528000,89.677333,,-1.251085,-1.034085,-0.434000,2.598571,,,,45.680473,33.951041,47.929760,5.993604
2008-02-08,88.290000,91.980000,88.000000,91.770000,89.090000,89.824000,,-0.988005,-1.024869,0.073728,2.761429,,,,54.576942,51.325361,49.074865,55.826353
2008-02-11,91.760000,94.720000,90.920000,93.590000,89.804000,90.068667,,-0.625444,-0.944984,0.639081,2.681429,90.373000,94.305178,86.440822,60.272045,63.199938,53.819794,81.960227
2008-02-12,93.610000,94.150000,92.060000,92.780000,90.678000,90.306667,,-0.398873,-0.835762,0.873777,2.631429,90.302000,93.986720,86.617280,64.540432,67.864809,58.525645,86.543135
2008-02-13,92.500000,93.890000,91.910000,93.270000,91.904000,90.725333,,-0.177727,-0.704155,1.052855,2.575714,90.370500,94.227226,86.513774,60.734149,72.894081,63.331587,92.019071
2008-02-14,93.290000,95.590000,93.250000,95.460000,93.374000,91.128667,,0.172262,-0.528872,1.402266,2.602143,90.601500,95.079950,86.123050,62.586116,81.485549,69.396758,105.663132
2008-02-15,95.240000,96.590000,94.640000,95.450000,94.110000,91.444667,,0.443709,-0.334356,1.556128,2.557143,90.895500,95.836919,85.954081,61.989247,83.989347,74.268371,103.431299
2008-02-19,95.460000,99.850000,95.120000,99.700000,95.332000,92.025333,,0.990355,-0.069413,2.119538,2.745714,91.384500,97.671812,85.097188,68.153153,88.963904,79.171859,108.547993
2008-02-20,99.580000,100.860000,97.990000,99.700000,96.716000,92.562667,,1.407354,0.225940,2.362828,2.845714,91.909000,99.115517,84.702483,67.131567,89.998524,82.783191,104.429189
2008-02-21,100.010000,100.330000,96.870000,98.230000,97.708000,92.956000,,1.600759,0.500904,2.199711,2.896429,92.471000,99.814133,85.127867,64.464286,86.513773,84.027279,91.486761
2008-02-22,97.500000,99.370000,97.160000,98.810000,98.378000,93.426667,,1.780313,0.756786,2.047054,2.792857,92.941000,100.653229,85.228771,74.393264,84.133886,84.062826,84.276006
2008-02-25,98.990000,99.700000,97.750000,99.230000,99.134000,94.111333,,1.934205,0.992270,1.883870,2.735000,93.367000,101.490616,85.243384,73.554987,83.351670,83.825726,82.403558
2008-02-26,99.350000,101.430000,98.460000,100.880000,99.370000,94.835333,92.699000,2.164357,1.226687,1.875340,2.769286,93.861500,102.559617,85.163383,81.827463,86.975828,84.875900,91.175682
2008-02-27,101.200000,102.080000,99.430000,99.640000,99.358000,95.584000,92.880333,2.221093,1.425568,1.591050,2.795714,94.261500,103.260071,85.262929,81.952965,82.105761,83.952438,78.412407
2008-02-28,99.630000,102.970000,98.910000,102.590000,100.230000,96.614000,93.236667,2.475561,1.635567,1.679988,2.931429,94.774500,104.453535,85.095465,83.611885,86.550163,84.818398,90.013694
2008-02-29,102.550000,103.050000,101.360000,101.840000,100.836000,97.529333,93.603333,2.586889,1.825831,1.522116,2.767857,95.279000,105.338622,85.219378,77.026302,85.947248,85.194696,87.452351
2008-03-03,101.630000,103.950000,100.770000,102.450000,101.480000,98.241333,94.032667,2.693293,1.999324,1.387939,2.723571,95.953500,106.038147,85.868853,75.430540,83.569289,84.652879,81.402107
2008-03-04,102.350000,103.330000,98.870000,99.520000,101.208000,98.636667,94.352667,2.512233,2.101906,0.820655,2.892857,96.428500,106.227280,86.629720,67.246673,68.189048,79.164839,46.237466
2008-03-05,99.880000,104.950000,99.550000,104.520000,102.184000,99.419333,94.863000,2.740608,2.229646,1.021924,3.139286,97.234000,106.905182,87.562818,73.388773,76.952836,78.427496,74.003515
2008-03-06,104.640000,105.970000,102.850000,105.470000,102.760000,100.232667,95.479000,2.964086,2.376534,1.175103,3.195000,98.150500,107.251330,89.049670,71.942131,82.607693,79.820906,88.181267
2008-03-07,105.580000,106.540000,103.910000,105.150000,103.422000,100.878667,96.003667,3.079869,2.517201,1.125336,3.243571,99.002500,107.300662,90.704338,70.977509,82.670806,80.770877,86.470662
2008-03-10,105.250000,108.210000,104.080000,107.900000,104.512000,101.708667,96.576667,3.354858,2.684732,1.340251,3.200714,99.809000,108.280999,91.337001,68.963922,87.340867,82.960882,96.100839
2008-03-11,107.910000,109.720000,106.610000,108.750000,106.358000,102.312000,97.168667,3.599879,2.867762,1.464234,3.217857,100.567000,109.401197,91.732803,70.137962,88.580550,84.834109,96.073433
