time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2009-10-05,0.000764,0.000764,0.000764,0.000764,,,,0.000000,0.000000,0.000000,,,,,,,,
2009-10-06,0.000885,0.000885,0.000885,0.000885,,,,0.000010,0.000002,0.000015,,,,,,,,
2009-10-07,0.001050,0.001050,0.001050,0.001050,,,,0.000030,0.000008,0.000045,,,,,,,,
2009-10-08,0.001084,0.001084,0.001084,0.001084,,,,0.000049,0.000016,0.000066,,,,,,,,
2009-10-09,0.001200,0.001200,0.001200,0.001200,0.000997,,,0.000072,0.000027,0.000090,,,,,,,,
2009-10-10,0.001120,0.001120,0.001120,0.001120,0.001068,,,0.000083,0.000038,0.000090,,,,,,,,
2009-10-11,0.001153,0.001153,0.001153,0.001153,0.001122,,,0.000093,0.000049,0.000088,,,,,,,,
2009-10-12,0.001102,0.001102,0.001102,0.001102,0.001132,,,0.000096,0.000059,0.000075,,,,,,,,
2009-10-13,0.001129,0.001129,0.001129,0.001129,0.001141,,,0.000100,0.000067,0.000065,,,,,,83.581884,83.581884,83.581884
2009-10-14,0.001136,0.001136,0.001136,0.001136,0.001128,,,0.000102,0.000074,0.000056,,,,,,81.108358,82.097768,79.129536
2009-10-15,0.001170,0.001170,0.001170,0.001170,0.001138,,,0.000105,0.000080,0.000050,,,,,,80.463386,81.323587,78.742984
2009-10-16,0.001245,0.001245,0.001245,0.001245,0.001156,,,0.000112,0.000086,0.000051,,,,,,88.578595,84.337206,97.061373
2009-10-17,0.001241,0.001241,0.001241,0.001241,0.001184,,,0.000116,0.000092,0.000048,,,,,,92.011864,87.283402,101.468789
2009-10-18,0.001225,0.001225,0.001225,0.001225,0.001203,,,0.000117,0.000097,0.000039,0.000055,,,,80.238744,89.955831,88.259944,93.347607
2009-10-19,0.001248,0.001248,0.001248,0.001248,0.001226,0.001117,,0.000118,0.000101,0.000033,0.000056,,,,80.805407,93.512023,90.119471,100.297128
