time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2014-09-16,2900,2944,2880,2923,,,,0.000000,0.000000,0.000000,,,,,,,,
2014-09-17,2955,2964,2937,2955,,,,2.552707,0.510541,4.084330,,,,,,,,
2014-09-18,2952,2961,2943,2953,,,,4.364055,1.281244,6.165623,,,,,,,,
2014-09-19,2951,2972,2950,2960,,,,6.291875,2.283370,8.017010,,,,,,,,
2014-09-22,2974,2988,2945,2959,2950.000000,,,7.650801,3.356856,8.587889,,,,,,,,
2014-09-23,2966,2978,2910,2939,2953.200000,,,7.032856,4.092056,5.881599,,,,,,,,
2014-09-24,2892,2937,2892,2920,2946.200000,,,4.952895,4.264224,1.377342,,,,,,,,
2014-09-25,2937,2944,2920,2930,2941.600000,,,4.064574,4.224294,-0.319440,,,,,,,,
2014-09-26,2931,2944,2922,2935,2936.600000,,,3.721136,4.123663,-0.805053,,,,,,50.925926,50.925926,50.925926
2014-09-29,2930,2933,2916,2927,2930.200000,,,2.771478,3.853226,-2.163495,,,,,,42.245370,45.717593,35.300926
2014-09-30,2950,2969,2937,2949,2932.200000,,,3.750846,3.832750,-0.163807,,,,,,50.359405,47.916346,55.245524
2014-10-08,2930,2934,2902,2913,2930.800000,,,1.603618,3.386923,-3.566611,,,,,,38.527422,44.016331,27.549602
2014-10-09,2893,2900,2874,2884,2921.600000,,,-2.410349,2.227469,-9.275636,,,,,,27.104697,37.524187,6.265717
2014-10-10,2888,2888,2787,2833,2901.200000,,,-9.596102,-0.137245,-18.917714,42.642857,,,,31.404959,26.000809,33.313389,11.375650
2014-10-13,2813,2850,2808,2827,2881.200000,2920.466667,,-15.595241,-3.228845,-24.732794,41.071429,,,,30.645161,24.576520,30.220054,13.289452
2014-10-14,2806,2837,2789,2824,2856.200000,2913.866667,,-20.357014,-6.654479,-27.405071,41.571429,,,,20.091324,23.103426,27.751526,13.807224
2014-10-15,2781,2845,2781,2824,2838.400000,2905.133333,,-23.855759,-10.094735,-27.522049,44.857143,,,,20.276498,23.024340,26.133714,16.805591
2014-10-16,2815,2838,2805,2816,2824.800000,2896.000000,,-26.963257,-13.468439,-26.989636,45.642857,,,,16.972477,21.529308,24.571827,15.444269
2014-10-17,2836,2847,2786,2804,2819.000000,2885.600000,,-30.047898,-16.784331,-26.527134,46.928571,,,,16.157205,18.394646,22.488683,10.206572
2014-10-20,2790,2790,2724,2744,2802.400000,2871.266667,,-36.908538,-20.809172,-32.198731,47.785714,2890.950000,3021.845660,2760.054340,13.754647,15.414733,20.112385,6.019430
2014-10-21,2740,2772,2740,2756,2788.800000,2859.066667,,-40.905808,-24.828499,-32.154617,46.714286,2882.600000,3025.630950,2739.569050,18.702290,16.341859,18.849052,11.327473
2014-10-22,2768,2778,2753,2761,2776.200000,2848.466667,,-43.172549,-28.497309,-29.350479,46.785714,2872.900000,3021.463508,2724.336492,17.120623,18.422023,18.706220,17.853631
2014-10-23,2754,2798,2749,2777,2768.400000,2838.266667,,-43.180138,-31.433875,-23.492525,48.714286,2864.100000,3013.533879,2714.666121,20.522388,26.320550,21.250139,36.461373
2014-10-24,2800,2808,2774,2791,2765.800000,2828.666667,,-41.577193,-33.462539,-16.229308,49.785714,2855.650000,3001.316201,2709.983799,25.182482,35.718523,26.080287,54.994994
2014-10-27,2799,2805,2767,2791,2775.200000,2819.600000,,-39.847510,-34.739533,-10.215954,49.500000,2847.250000,2987.081289,2707.418711,18.650794,41.975881,31.384202,63.159240
2014-10-28,2771,2790,2766,2782,2780.400000,2808.466667,,-38.756191,-35.542865,-6.426654,47.928571,2839.400000,2975.110838,2703.689162,20.888889,43.703247,35.493331,60.123079
2014-10-29,2796,2798,2782,2789,2786.000000,2800.200000,,-36.901099,-35.814511,-2.173175,46.285714,2832.850000,2964.773862,2700.926138,26.600985,46.752049,39.247931,61.760287
2014-10-30,2835,2835,2796,2815,2793.600000,2795.600000,,-32.953080,-35.242225,4.578291,42.357143,2827.100000,2950.974130,2703.225870,44.943820,58.498893,45.666848,84.162982
2014-10-31,2776,2802,2771,2785,2792.400000,2792.400000,,-31.877531,-34.569286,5.383510,42.500000,2819.600000,2933.749302,2705.450698,39.603960,54.787992,48.707839,66.948297
2014-11-03,2775,2787,2733,2759,2786.000000,2787.866667,2854.166667,-32.745662,-34.204561,2.917799,42.928571,2811.200000,2916.450778,2705.949222,35.555556,45.020754,47.478647,40.104970
2014-11-04,2728,2743,2710,2728,2775.200000,2781.466667,2847.666667,-35.525586,-34.468766,-2.113640,41.857143,2800.150000,2889.722728,2710.577272,31.250000,34.812927,43.256364,17.926053
2014-11-05,2728,2735,2680,2692,2755.800000,2772.666667,2838.900000,-40.170534,-35.609120,-9.122829,43.428571,2789.100000,2874.484332,2703.715668,28.169014,25.788727,37.433472,2.499236
2014-11-06,2690,2690,2618,2653,2723.400000,2761.800000,2828.900000,-46.463066,-37.779909,-17.366314,44.357143,2777.550000,2870.997368,2684.102632,25.723473,22.568701,32.478352,2.749399
2014-11-07,2635,2636,2610,2620,2690.400000,2749.533333,2817.566667,-53.496097,-40.923147,-25.145901,41.714286,2766.900000,2880.183808,2653.616192,28.169014,16.527123,27.161135,-4.740903
2014-11-10,2628,2661,2621,2642,2667.000000,2742.733333,2807.000000,-56.641679,-44.066853,-25.149651,42.357143,2757.650000,2880.111208,2635.188792,30.612245,15.758809,23.360293,0.555841
2014-11-11,2645,2676,2636,2661,2653.600000,2736.400000,2797.733333,-56.945007,-46.642484,-20.605046,43.428571,2749.500000,2875.026261,2623.973739,33.766234,18.061455,21.593993,10.996380
2014-11-12,2682,2703,2666,2688,2652.800000,2731.533333,2790.000000,-54.379865,-48.189960,-12.379810,42.928571,2742.700000,2865.947462,2619.452538,36.050157,25.582696,22.923571,30.900945
2014-11-13,2719,2764,2680,2706,2663.400000,2726.800000,2782.533333,-50.314528,-48.614874,-3.399308,46.500000,2737.200000,2856.426631,2617.973369,36.842105,35.134276,26.993827,51.415174
2014-11-14,2698,2698,2672,2686,2676.600000,2719.800000,2774.233333,-48.151491,-48.522197,0.741412,46.214286,2731.300000,2848.265312,2614.334688,34.693878,39.873084,31.286928,57.045396
2014-11-17,2695,2723,2660,2687,2685.600000,2712.866667,2766.233333,-45.828297,-47.983417,4.310240,48.928571,2728.450000,2846.880926,2610.019074,35.820896,43.248730,35.274205,59.197782
2014-11-18,2662,2670,2647,2658,2685.000000,2704.600000,2756.533333,-45.799262,-47.546586,3.494649,50.642857,2723.550000,2845.245868,2601.854132,31.652661,39.222091,36.590169,44.485936
2014-11-19,2651,2702,2651,2673,2682.000000,2696.866667,2748.533333,-44.058003,-46.848870,5.581733,51.000000,2719.150000,2841.506296,2596.793704,29.479769,39.784425,37.654922,44.043431
2014-11-20,2676,2743,2670,2698,2680.400000,2689.066667,2742.333333,-40.197381,-45.518572,10.642381,53.071429,2715.200000,2834.761656,2595.638344,37.243402,44.471671,39.927173,53.560667
2014-11-21,2715,2724,2680,2693,2681.800000,2682.933333,2737.666667,-37.113448,-43.837547,13.448198,52.357143,2710.300000,2824.702981,2595.897019,39.687500,44.491531,41.448626,50.577339
2014-11-24,2695,2705,2660,2672,2678.800000,2677.133333,2732.500000,-35.949530,-42.259944,12.620828,52.071429,2704.350000,2813.330491,2595.369509,40.967742,36.783525,39.893592,30.563391
2014-11-25,2662,2673,2642,2656,2678.400000,2672.333333,2726.900000,-35.904300,-40.988815,10.169030,50.357143,2698.050000,2802.608168,2593.491832,43.793103,28.347485,36.044889,12.952677
2014-11-26,2662,2677,2620,2640,2671.800000,2668.866667,2720.766667,-36.736051,-40.138262,6.804422,49.142857,2690.600000,2788.919351,2592.280649,47.565543,24.318377,32.136051,8.683029
2014-11-27,2621,2630,2580,2598,2651.800000,2665.200000,2713.500000,-40.319491,-40.174508,-0.289965,50.357143,2679.750000,2767.603646,2591.896354,46.014493,19.893233,28.055111,3.569475
