time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2008-01-02,7.116779,7.152135,6.876779,6.958564,,,,0.000000,0.000000,0.000000,,,,,,,,
2008-01-03,6.978922,7.049636,6.881779,6.961778,,,,0.000256,0.000051,0.000410,,,,,,,,
2008-01-04,6.837493,6.892850,6.388922,6.430351,,,,-0.041939,-0.008347,-0.067184,,,,,,,,
2008-01-07,6.473208,6.557137,6.079637,6.344279,,,,-0.081386,-0.022955,-0.116862,,,,,,,,
2008-01-08,6.433565,6.516422,6.099994,6.116065,6.562207,,,-0.129569,-0.044277,-0.170583,,,,,,,,
2008-01-09,6.117851,6.410708,6.010708,6.407136,6.451922,,,-0.142624,-0.063947,-0.157354,,,,,,,,
2008-01-10,6.342137,6.464279,6.264637,6.357851,6.331136,,,-0.155158,-0.082189,-0.145938,,,,,,,,
2008-01-11,6.285708,6.351780,6.071423,6.167494,6.278565,,,-0.178395,-0.101430,-0.153930,,,,,,,,
2008-01-14,6.339994,6.407851,6.256065,6.384994,6.286708,,,-0.177218,-0.116588,-0.121260,,,,,,32.791059,32.791059,32.791059
2008-01-15,6.347137,6.400708,5.880708,6.037136,6.270922,,,-0.202025,-0.133675,-0.136699,,,,,,21.145729,25.803861,11.829465
2008-01-16,5.901066,6.036065,5.596423,5.701423,6.129780,,,-0.245939,-0.156128,-0.179622,,,,,,14.965786,20.670036,3.557287
2008-01-17,5.768208,5.905708,5.657851,5.746066,6.007423,,,-0.273980,-0.179698,-0.188564,,,,,,15.219354,18.405907,8.846249
2008-01-18,5.775352,5.919637,5.700351,5.762851,5.926494,,,-0.291489,-0.202057,-0.178865,,,,,,16.321363,17.605679,13.752731
2008-01-22,5.287852,5.713566,5.214281,5.558566,5.761208,,,-0.318181,-0.225281,-0.185799,0.358061,,,,22.510509,20.421844,18.634744,23.996045
2008-01-23,4.863924,4.999995,4.504995,4.966853,5.547152,6.126760,,-0.382670,-0.256759,-0.251822,0.413648,,,,18.266029,21.537455,19.662464,25.287437
