time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2008-01-22,77.112000,77.347000,76.251000,76.346000,,,,0.000000,0.000000,0.000000,,,,,,,,
2008-01-23,76.276000,76.652000,76.249000,76.401000,,,,0.004387,0.000877,0.007020,,,,,,,,
2008-01-24,76.312000,76.439000,75.622000,75.692000,,,,-0.048783,-0.009055,-0.079458,,,,,,,,
2008-01-25,75.745000,76.043000,75.632000,75.973000,,,,-0.067470,-0.020738,-0.093464,,,,,,,,
2008-01-28,75.938000,76.022000,75.479000,75.579000,75.998200,,,-0.112771,-0.039144,-0.147254,,,,,,,,
2008-01-29,75.560000,75.685000,75.473000,75.545000,75.838000,,,-0.149691,-0.061254,-0.176875,,,,,,,,
2008-01-30,75.499000,75.594000,74.994000,75.032000,75.564200,,,-0.217834,-0.092570,-0.250528,,,,,,,,
2008-01-31,75.096000,75.448000,74.972000,75.178000,75.461400,,,-0.257093,-0.125474,-0.263237,,,,,,,,
2008-02-01,75.234000,75.567000,74.849000,75.445000,75.355800,,,-0.263623,-0.153104,-0.221037,,,,,,23.859087,23.859087,23.859087
2008-02-04,75.440000,75.546000,75.282000,75.370000,75.314000,,,-0.271717,-0.176827,-0.189781,,,,,,26.881405,25.672478,29.299260
2008-02-05,75.433000,76.198000,75.341000,76.116000,75.428200,,,-0.215453,-0.184552,-0.061801,,,,,,51.893888,38.093146,79.495371
2008-02-06,76.095000,76.321000,75.987000,76.141000,75.650000,,,-0.166921,-0.181026,0.028209,,,,,,66.796995,50.016283,100.358419
2008-02-07,76.133000,77.043000,76.088000,76.938000,76.002000,,,-0.063417,-0.157504,0.188174,,,,,,77.705977,60.645976,111.825980
2008-02-08,76.762000,76.973000,76.501000,76.670000,76.247000,,,-0.002981,-0.126599,0.247238,0.582714,,,,53.758701,79.640152,67.586705,103.747045
2008-02-11,76.453000,76.714000,76.316000,76.584000,76.489800,75.934000,,0.037544,-0.093771,0.262629,0.532857,,,,52.707006,79.441582,71.783988,94.756770
2008-02-12,76.473000,76.667000,76.198000,76.315000,76.529600,75.931933,,0.047407,-0.065535,0.225884,0.537571,,,,49.067245,75.063077,72.921398,79.346437
2008-02-13,76.388000,76.605000,76.277000,76.399000,76.581200,75.931800,,0.061295,-0.040169,0.202928,0.502643,,,,58.870765,73.551813,73.137148,74.381143
2008-02-14,76.424000,76.509000,76.070000,76.155000,76.424600,75.962667,,0.052013,-0.021733,0.147492,0.504643,,,,52.304965,65.418195,70.518757,55.217070
2008-02-15,76.054000,76.174000,75.852000,76.101000,76.310800,75.971200,,0.039841,-0.009418,0.098517,0.488857,,,,57.233925,58.415623,66.437192,42.372484
2008-02-19,76.021000,76.322000,75.807000,75.998000,76.193600,75.999133,,0.021633,-0.003208,0.049682,0.510500,75.998900,77.032420,74.965380,56.159913,43.983540,58.894507,14.161606
2008-02-20,76.109000,76.529000,75.989000,76.116000,76.153800,76.037200,,0.016535,0.000741,0.031588,0.506214,75.987400,77.009716,74.965084,66.514321,37.623012,51.767388,9.334259
2008-02-21,76.066000,76.159000,75.485000,75.601000,75.994200,76.075133,,-0.028731,-0.005154,-0.047155,0.520357,75.947400,76.964165,74.930635,55.792933,27.646399,43.699422,-4.459645
2008-02-22,75.641000,75.710000,75.357000,75.520000,75.867200,76.097933,,-0.070330,-0.018189,-0.104282,0.494286,75.938800,76.967501,74.910099,51.082251,22.422934,36.591026,-5.913249
2008-02-25,75.526000,75.682000,75.436000,75.529000,75.752800,76.103533,,-0.101402,-0.034831,-0.133141,0.493000,75.916600,76.961233,74.871967,52.338923,19.320490,30.825403,-3.689336
2008-02-26,75.568000,75.685000,74.706000,74.763000,75.505800,76.063067,,-0.185696,-0.065004,-0.241383,0.501714,75.875800,77.033566,74.718034,30.213513,13.875327,25.169637,-8.713294
2008-02-27,74.540000,74.741000,74.070000,74.213000,75.125200,75.936200,,-0.293497,-0.110703,-0.365588,0.527357,75.809200,77.180620,74.437780,25.557809,11.186856,20.505554,-7.450540
2008-02-28,74.257000,74.372000,73.625000,73.721000,74.749200,75.774867,,-0.413859,-0.171334,-0.485050,0.512500,75.743650,77.372623,74.114677,5.798296,8.558647,16.521455,-7.366969
2008-02-29,73.831000,73.887000,73.560000,73.714000,74.388000,75.559933,,-0.504002,-0.237868,-0.532269,0.502143,75.670450,77.522716,73.818184,6.246300,7.434404,13.491526,-4.679842
2008-03-03,73.638000,73.859000,73.354000,73.704000,74.023000,75.362200,,-0.569681,-0.304230,-0.530902,0.509786,75.583400,77.633369,73.533431,6.390067,8.631050,11.871043,2.151064
2008-03-04,73.727000,73.776000,73.479000,73.664000,73.803200,75.167533,75.550767,-0.617838,-0.366952,-0.501772,0.497500,75.498100,77.720205,73.275995,6.866254,9.438039,11.059933,6.194251
2008-03-05,73.720000,73.947000,73.368000,73.479000,73.656400,74.978467,75.455200,-0.663285,-0.426219,-0.474132,0.515429,75.366250,77.741632,72.990868,4.001260,8.060437,10.060012,4.061288
2008-03-06,73.426000,73.469000,72.863000,73.001000,73.512400,74.751933,75.341867,-0.729463,-0.486868,-0.485192,0.528071,75.209250,77.776361,72.642139,3.726526,7.003612,9.041151,2.928532
2008-03-07,72.877000,73.172000,72.462000,73.027000,73.375000,74.543400,75.253033,-0.770926,-0.543679,-0.454493,0.555786,75.013700,77.621850,72.405550,4.526627,10.512631,9.531664,12.474564
2008-03-10,72.880000,73.093000,72.760000,72.993000,73.232800,74.336200,75.153700,-0.797337,-0.594411,-0.405853,0.542786,74.829850,77.464657,72.195043,4.620960,14.775097,11.279521,21.766249
2008-03-11,72.996000,73.402000,72.474000,73.277000,73.155400,74.154800,75.076967,-0.786288,-0.632786,-0.307004,0.570500,74.664500,77.250413,72.078587,9.174576,24.073614,15.544294,41.132255
2008-03-12,73.185000,73.205000,72.204000,72.404000,72.940400,73.907333,74.972267,-0.838312,-0.673891,-0.328841,0.599000,74.468950,77.120023,71.817877,8.318123,19.873850,16.987496,25.646557
2008-03-13,72.281000,72.361000,71.795000,72.072000,72.754600,73.672067,74.873600,-0.896002,-0.718314,-0.355377,0.617286,74.252600,76.946376,71.558824,7.807146,17.539797,17.171598,18.276196
2008-03-14,71.929000,72.281000,71.578000,71.657000,72.480600,73.414533,74.756233,-0.964096,-0.767470,-0.393252,0.649929,74.027700,76.802566,71.252834,6.901158,12.804754,15.715976,6.982310
2008-03-17,71.421000,71.727000,70.698000,71.459000,72.173800,73.143200,74.623367,-1.022253,-0.818427,-0.407654,0.653500,73.795600,76.616450,70.974750,7.900102,16.344045,15.925333,17.181470
2008-03-18,71.497000,71.954000,71.036000,71.571000,71.832600,72.930400,74.496733,-1.047235,-0.864188,-0.366093,0.669571,73.574250,76.362007,70.786493,12.105565,21.397666,17.749448,28.694101
2008-03-19,71.904000,72.235000,71.255000,72.144000,71.780600,72.792467,74.364333,-1.009163,-0.893183,-0.231959,0.686214,73.375650,75.959459,70.791841,27.894589,32.090571,22.529830,51.212053
2008-03-20,72.015000,72.922000,71.978000,72.747000,71.915600,72.727533,74.251200,-0.919732,-0.898493,-0.042478,0.730286,73.232950,75.605915,70.859985,38.385779,46.652605,30.570763,78.816288
2008-03-24,72.749000,73.194000,72.644000,72.949000,72.174000,72.676533,74.118233,-0.823069,-0.883408,0.120678,0.733500,73.104400,75.220335,70.988465,41.331803,58.850759,39.997435,96.557406
2008-03-25,72.946000,72.969000,72.177000,72.276000,72.337400,72.581333,73.971767,-0.791643,-0.865055,0.146823,0.768857,72.941750,74.750796,71.132704,36.086608,60.215092,46.736657,87.171963
2008-03-26,72.131000,72.309000,71.328000,71.506000,72.324400,72.437467,73.802500,-0.819425,-0.855929,0.073008,0.797571,72.778900,74.480855,71.076945,32.298582,50.933990,48.135768,56.530434
2008-03-27,71.382000,71.805000,71.327000,71.660000,72.227600,72.316200,73.647333,-0.819568,-0.848657,0.058178,0.787714,72.651250,74.281781,71.020719,37.226138,46.803215,47.691584,45.026477
2008-03-28,71.585000,71.837000,71.479000,71.678000,72.013800,72.228000,73.489967,-0.808905,-0.840706,0.063604,0.762571,72.549100,74.153217,70.944983,37.130319,44.289750,46.557639,39.753971
2008-03-31,71.610000,71.831000,71.346000,71.802000,71.784400,72.146333,73.344867,-0.781440,-0.828853,0.094826,0.773429,72.453500,73.991854,70.915146,38.829488,41.358443,44.824573,34.426181
2008-04-01,71.874000,72.736000,71.739000,72.563000,71.841800,72.117667,73.226933,-0.690310,-0.801145,0.221669,0.778357,72.396450,73.819876,70.973024,43.853306,50.058113,46.569087,57.036166
2008-04-02,72.538000,72.795000,72.180000,72.259000,71.992400,72.049800,73.102300,-0.635296,-0.767975,0.265357,0.745643,72.326200,73.618907,71.033493,48.616148,50.011961,47.716712,54.602460
2008-04-03,72.265000,72.841000,72.144000,72.217000,72.103800,72.037333,72.972333,-0.588305,-0.732041,0.287472,0.751929,72.263100,73.436582,71.089618,51.464942,49.231327,48.221583,51.250814
2008-04-04,72.152000,72.324000,71.797000,72.021000,72.172400,72.033933,72.853000,-0.560419,-0.697716,0.274595,0.739357,72.214100,73.338670,71.089530,53.847780,46.909395,47.784187,45.159810
2008-04-07,71.996000,72.433000,71.928000,72.202000,72.252400,72.070267,72.742400,-0.517746,-0.661722,0.287953,0.701929,72.172850,73.230398,71.115302,57.882453,50.537571,48.701982,54.208749
2008-04-08,72.189000,72.376000,71.852000,72.232000,72.186200,72.121800,72.632500,-0.476019,-0.624582,0.297125,0.673786,72.134800,73.120416,71.149184,57.136688,53.616857,50.340274,60.170024
2008-04-09,72.374000,72.387000,71.686000,71.833000,72.101000,72.139267,72.534833,-0.469731,-0.593612,0.247760,0.653857,72.062600,72.895672,71.229528,46.511106,46.602988,49.094512,41.619941
2008-04-10,71.875000,72.190000,71.415000,72.117000,72.081000,72.137467,72.464967,-0.436797,-0.562249,0.250903,0.641786,72.048250,72.866313,71.230187,42.387627,48.259294,48.816106,47.145671
2008-04-11,72.124000,72.169000,71.696000,71.808000,72.038400,72.074867,72.401200,-0.430665,-0.535932,0.210533,0.636286,72.035050,72.859990,71.210110,36.560660,41.359399,46.330537,31.417122
2008-04-14,72.249000,72.397000,71.490000,71.875000,71.973000,72.003267,72.339900,-0.415609,-0.511867,0.192517,0.644500,72.045950,72.855474,71.236426,44.490245,38.325621,43.662231,27.652399
2008-04-15,71.805000,72.160000,71.654000,72.023000,71.931200,71.986400,72.283867,-0.387270,-0.486948,0.199356,0.610571,72.074150,72.835441,71.312859,58.568114,39.762662,42.362375,34.563237
2008-04-16,72.068000,72.089000,71.276000,71.408000,71.846200,71.979867,72.208667,-0.409714,-0.471501,0.123575,0.634500,72.066000,72.853026,71.278974,46.377228,30.311380,38.345377,14.243387
2008-04-17,71.450000,71.778000,71.296000,71.680000,71.758800,71.981200,72.148700,-0.400930,-0.457387,0.112913,0.643357,72.042800,72.847306,71.238294,50.026795,31.846884,36.179212,23.182227
2008-04-18,71.624000,72.407000,71.394000,72.012000,71.799600,72.003467,72.115733,-0.362996,-0.438509,0.151026,0.681071,72.006050,72.739087,71.273013,52.664975,42.922974,38.427133,51.914656
2008-04-21,71.917000,72.034000,71.499000,71.647000,71.754000,71.993133,72.069733,-0.358255,-0.422458,0.128406,0.648071,71.940950,72.540491,71.341409,37.076749,39.549593,38.801286,41.046205
2008-04-22,71.684000,71.924000,71.191000,71.329000,71.615200,71.910867,72.014267,-0.375826,-0.413131,0.074612,0.656500,71.893600,72.530164,71.257036,36.930860,30.149290,35.917287,18.613295
2008-04-23,71.328000,71.949000,71.316000,71.819000,71.697400,71.881533,71.965667,-0.346220,-0.399749,0.107058,0.651929,71.909250,72.520582,71.297918,45.032451,37.314439,36.383005,39.177307
2008-04-24,71.854000,72.719000,71.834000,72.535000,71.868400,71.902733,71.970033,-0.261963,-0.372192,0.220458,0.678571,71.953000,72.612562,71.293438,55.678303,54.195664,42.320558,77.945877
2008-04-25,72.544000,73.030000,72.448000,72.790000,72.024000,71.954000,71.993967,-0.172622,-0.332278,0.319311,0.684071,72.008600,72.752625,71.264575,56.391304,65.113586,49.918234,95.504290
2008-04-28,72.717000,72.790000,72.439000,72.790000,72.252600,71.993200,72.031733,-0.100659,-0.285954,0.370591,0.671714,72.058000,72.872160,71.243840,56.105033,72.392200,57.409556,102.357489
2008-04-29,72.539000,72.937000,72.506000,72.895000,72.565800,72.037400,72.079600,-0.034754,-0.235714,0.401920,0.652429,72.074600,72.943792,71.205408,62.418148,79.147818,64.655643,108.132168
2008-04-30,72.890000,73.112000,72.489000,72.509000,72.703800,72.082467,72.110867,-0.013515,-0.191274,0.355518,0.641571,72.087100,72.974459,71.199741,54.476930,75.635245,68.315511,90.274714
2008-05-01,72.540000,73.393000,72.495000,73.275000,72.851800,72.159667,72.148567,0.064384,-0.140143,0.409054,0.671929,72.140000,73.173995,71.106005,65.170631,81.970575,72.867199,100.177328
2008-05-02,73.241000,73.698000,73.107000,73.500000,72.993800,72.272467,72.173667,0.142632,-0.083588,0.452439,0.649357,72.213950,73.410833,71.017067,66.272782,85.347755,77.027384,101.988496
2008-05-05,73.455000,73.541000,73.114000,73.190000,73.073800,72.360133,72.181700,0.177582,-0.031354,0.417872,0.643714,72.263350,73.537236,70.989464,61.319108,83.122964,79.059244,91.250405
2008-05-06,73.179000,73.343000,72.734000,72.999000,73.094600,72.425200,72.205800,0.187704,0.012458,0.350493,0.629143,72.301700,73.617116,70.986284,66.814627,76.248643,78.122377,72.501175
2008-05-07,72.989000,73.648000,72.989000,73.514000,73.295600,72.565600,72.272733,0.234579,0.056882,0.355393,0.641786,72.385750,73.787082,70.984418,68.435867,79.294171,78.512975,80.856562
2008-05-08,73.764000,73.836000,73.239000,73.474000,73.335400,72.685200,72.333200,0.265439,0.098593,0.333692,0.612071,72.453600,73.929562,70.977638,65.612986,77.558557,78.194836,76.286000
2008-05-09,73.382000,73.397000,73.027000,73.050000,73.245400,72.754400,72.378933,0.252770,0.129429,0.246682,0.605786,72.515700,73.981770,71.049630,64.796456,65.588407,73.992693,48.779836
2008-05-12,73.344000,73.522000,72.794000,72.947000,73.196800,72.841067,72.417100,0.231746,0.149892,0.163708,0.605429,72.569300,74.014986,71.123614,67.874503,55.059433,67.681606,29.815087
2008-05-13,72.968000,73.427000,72.865000,73.273000,73.251600,72.970667,72.440767,0.238639,0.167642,0.141996,0.600357,72.631800,74.086098,71.177502,66.666667,56.045091,63.802768,40.529736
2008-05-14,73.327000,73.624000,73.241000,73.399000,73.228600,73.076000,72.478767,0.251372,0.184388,0.133968,0.563429,72.731350,74.103161,71.359539,61.452810,57.478336,61.694624,49.045761
2008-05-15,73.342000,73.506000,73.034000,73.350000,73.203800,73.130333,72.516533,0.254574,0.198425,0.112298,0.555571,72.814850,74.118837,71.510863,57.851935,56.951680,60.113642,50.627754
2008-05-16,73.277000,73.391000,72.687000,72.844000,73.162600,73.133933,72.543967,0.213817,0.201503,0.024627,0.580786,72.856450,74.104479,71.608421,50.663065,42.522472,54.249919,19.067577
2008-05-19,72.884000,73.169000,72.552000,73.045000,73.182200,73.150933,72.572067,0.195482,0.200299,-0.009634,0.594071,72.926350,74.038346,71.814354,51.799424,41.146861,49.882233,23.676116
2008-05-20,72.936000,73.034000,72.347000,72.405000,73.008600,73.118267,72.577833,0.127836,0.185806,-0.115941,0.599429,72.980150,73.842940,72.117360,48.824062,28.729651,42.831372,0.526209
2008-05-21,72.339000,72.490000,71.901000,71.938000,72.716400,73.080200,72.581333,0.036126,0.155870,-0.239489,0.577357,72.986100,73.816196,72.156004,33.786078,19.868906,35.177217,-10.747715
2008-05-22,71.936000,72.313000,71.823000,72.277000,72.501800,73.013667,72.586667,-0.009095,0.122877,-0.263945,0.570143,72.973200,73.840020,72.106380,35.567619,21.648677,30.667704,3.610623
