time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2007-12-11,1123.250000,1137.000000,1122.000000,1135.500000,,,,0.000000,0.000000,0.000000,,,,,,,,
2007-12-12,1131.250000,1153.250000,1124.500000,1151.500000,,,,1.276353,0.255271,2.042165,,,,,,,,
2007-12-13,1151.000000,1161.000000,1144.250000,1146.000000,,,,1.823053,0.568827,2.508452,,,,,,,,
2007-12-14,1146.000000,1164.500000,1144.750000,1157.000000,,,,3.108097,1.076681,4.062832,,,,,,,,
2007-12-17,1157.500000,1173.750000,1149.000000,1156.750000,1149.350000,,,4.059535,1.673252,4.772566,,,,,,,,
2007-12-18,1175.000000,1180.000000,1164.500000,1168.500000,1155.950000,,,5.696022,2.477806,6.436433,,,,,,,,
2007-12-19,1168.000000,1178.750000,1167.000000,1177.750000,1161.200000,,,7.651151,3.512475,8.277352,,,,,,,,
2007-12-20,1177.250000,1187.000000,1173.250000,1179.750000,1167.950000,,,9.255298,4.661040,9.188517,,,,,,,,
2007-12-21,1178.750000,1196.750000,1177.000000,1196.000000,1175.750000,,,11.702931,6.069418,11.267027,,,,,,98.996656,98.996656,98.996656
2007-12-24,1192.750000,1203.000000,1188.500000,1199.250000,1184.250000,,,13.746485,7.604831,12.283308,,,,,,96.732420,97.638114,94.921032
2007-12-26,1208.250000,1245.750000,1208.250000,1239.500000,1198.450000,,,18.401732,9.764211,17.275040,,,,,,95.363446,96.560640,92.969059
2007-12-27,1239.000000,1243.750000,1227.750000,1231.500000,1209.200000,,,21.201121,12.051593,18.299056,,,,,,91.428775,94.428942,85.428440
2007-12-28,1230.000000,1248.000000,1182.000000,1223.000000,1217.850000,,,22.474704,14.136216,16.676977,,,,,,85.025053,90.818918,73.437322
2007-12-31,1210.500000,1218.750000,1197.000000,1214.250000,1221.500000,,,22.518398,15.812652,13.411492,24.464286,,,,77.975133,75.727393,85.304271,56.573637
2008-01-02,1221.500000,1262.750000,1221.000000,1248.750000,1231.400000,1188.333333,,25.048148,17.659751,14.776794,26.857143,,,,82.310984,79.144451,83.123353,71.186646
2008-01-03,1248.750000,1269.250000,1245.750000,1267.500000,1237.000000,1197.133333,,28.240423,19.775886,16.929075,26.482143,,,,82.584270,85.746254,84.033152,89.172456
2008-01-04,1268.750000,1278.000000,1251.000000,1262.500000,1243.200000,1204.533333,,30.020805,21.824870,16.391871,27.214286,,,,82.816901,85.372263,84.491444,87.133900
2008-01-07,1259.750000,1264.000000,1246.500000,1249.750000,1248.550000,1211.450000,,30.056480,23.471192,13.170576,27.053571,,,,75.871688,80.352090,83.087309,74.881651
2008-01-08,1249.500000,1279.750000,1249.250000,1267.000000,1259.100000,1218.783333,,31.117974,25.000548,12.234852,27.464286,,,,78.089172,82.579316,82.915998,81.905953
2008-01-09,1267.000000,1277.500000,1260.750000,1262.500000,1261.850000,1225.833333,,31.236034,26.247645,9.976778,27.000000,1206.712500,1297.504088,1115.920912,74.867725,82.503272,82.777354,81.955108
2008-01-10,1260.000000,1270.500000,1252.000000,1260.250000,1260.400000,1231.950000,,30.793078,27.156732,7.272693,27.482143,1212.950000,1300.214510,1125.685490,72.664835,81.681677,82.410242,80.224546
2008-01-11,1260.250000,1310.250000,1260.000000,1298.750000,1267.650000,1240.016667,,33.166340,28.358654,9.615372,30.089286,1220.312500,1310.543909,1130.081091,77.231121,84.412296,83.079887,87.077115
2008-01-14,1302.000000,1341.500000,1295.000000,1296.500000,1277.000000,1247.800000,,34.468281,29.580579,9.775405,32.000000,1227.837500,1317.071414,1138.603586,74.572127,77.143465,81.096551,69.237295
2008-01-15,1293.250000,1314.250000,1281.250000,1301.500000,1283.900000,1254.833333,,35.494381,30.763339,9.462082,33.321429,1235.062500,1323.543226,1146.581774,74.787879,70.827542,77.668329,57.145970
2008-01-16,1296.500000,1301.250000,1251.750000,1277.000000,1286.800000,1260.016667,,33.939394,31.398550,5.081688,33.553571,1241.075000,1323.268466,1158.881534,59.842520,57.907002,71.074527,31.571952
2008-01-17,1279.000000,1312.250000,1262.500000,1271.000000,1288.950000,1262.116667,,31.855694,31.489979,0.731429,35.964286,1246.200000,1321.862617,1170.537383,60.477454,47.193910,63.108932,15.363868
2008-01-18,1265.250000,1277.000000,1244.000000,1263.000000,1281.800000,1264.216667,,29.221960,31.036375,-3.628830,33.607143,1250.462500,1319.174576,1181.750424,60.638298,37.954165,54.720226,4.422045
2008-01-22,1240.000000,1255.500000,1214.000000,1239.500000,1270.400000,1265.316667,,24.950837,29.819268,-9.736862,35.250000,1253.450000,1313.918043,1192.981957,56.226880,31.967643,47.133750,1.635430
2008-01-23,1238.000000,1251.250000,1189.500000,1189.500000,1248.000000,1263.666667,,17.331570,27.321728,-19.980315,36.196429,1253.125000,1314.947858,1191.302142,36.426117,21.309625,38.523982,-13.119088
2008-01-24,1198.250000,1239.000000,1197.000000,1230.500000,1238.700000,1262.450000,1225.391667,14.435204,24.744423,-20.618438,38.053571,1254.687500,1312.207033,1197.167967,42.307692,23.197897,33.414604,2.764483
2008-01-25,1235.500000,1253.000000,1226.250000,1243.000000,1233.100000,1260.816667,1228.975000,12.998619,22.395262,-18.793287,38.035714,1254.862500,1312.208512,1197.516488,46.068548,27.198078,31.342244,18.909744
2008-01-28,1244.000000,1259.500000,1228.250000,1253.750000,1231.250000,1260.233333,1232.383333,12.582507,20.432711,-15.700410,39.017857,1255.975000,1312.266277,1199.683723,50.813008,35.300202,32.661642,40.577322
2008-01-29,1256.250000,1268.000000,1247.250000,1266.750000,1236.700000,1261.366667,1236.408333,13.150139,18.976197,-11.652115,38.321429,1258.162500,1312.421934,1203.903066,49.948294,44.511429,36.611727,60.310833
2008-01-30,1270.750000,1278.500000,1258.750000,1275.750000,1253.950000,1261.950000,1240.366667,14.162955,18.013549,-7.701187,38.535714,1261.237500,1311.867862,1210.607138,52.690355,53.096101,42.106664,75.074977
2008-01-31,1274.250000,1279.500000,1262.250000,1274.500000,1262.750000,1262.750000,1244.291667,14.695356,17.349910,-5.309109,38.446429,1262.525000,1313.127918,1211.922082,52.905199,66.879125,50.364296,99.908783
2008-02-01,1275.250000,1298.500000,1275.250000,1287.250000,1271.600000,1264.550000,1248.250000,15.962104,17.072349,-2.220489,36.571429,1263.512500,1315.281591,1211.743409,47.380410,74.479139,58.402671,106.632074
2008-02-04,1289.500000,1328.000000,1288.500000,1326.000000,1286.050000,1266.366667,1253.191667,19.863835,17.630646,4.466377,36.160714,1266.687500,1325.504315,1207.870685,55.761719,82.504808,66.436780,114.640863
2008-02-05,1328.250000,1330.000000,1309.500000,1323.000000,1297.300000,1268.133333,1257.966667,22.455061,18.595529,7.719065,35.267857,1270.350000,1333.675683,1207.024317,54.232283,86.582174,73.151946,113.442629
2008-02-06,1329.250000,1373.000000,1316.000000,1318.500000,1305.850000,1269.266667,1262.050000,23.870352,19.650494,8.439717,35.785714,1272.925000,1339.767726,1206.082274,58.867521,78.675425,74.993112,86.040051
2008-02-07,1315.500000,1334.500000,1301.000000,1331.500000,1317.250000,1272.900000,1266.458333,25.744209,20.869237,9.749944,34.625000,1276.375000,1347.910140,1204.839860,62.551867,76.226904,75.404377,77.871958
2008-02-08,1336.500000,1374.500000,1329.500000,1339.000000,1327.600000,1277.433333,1269.775000,27.517239,22.198837,10.636804,35.482143,1280.312500,1356.620545,1204.004455,65.800416,74.851988,75.220247,74.115469
2008-02-11,1345.250000,1354.500000,1313.500000,1326.000000,1327.600000,1281.633333,1272.925000,27.555741,23.270218,8.571047,34.910714,1281.675000,1360.306904,1203.043096,68.804348,69.267770,73.236086,61.331138
2008-02-12,1327.000000,1346.500000,1306.500000,1321.000000,1327.200000,1287.066667,1276.191667,26.873021,23.990779,5.764485,33.357143,1282.900000,1363.248976,1202.551024,85.540541,63.624686,70.032284,50.809491
2008-02-13,1319.750000,1334.000000,1312.000000,1328.500000,1329.200000,1296.333333,1280.000000,26.630172,24.518657,4.223029,31.392857,1284.250000,1366.792174,1201.707826,82.343234,60.300587,66.788383,47.324994
2008-02-14,1333.250000,1369.500000,1329.000000,1368.000000,1336.500000,1305.500000,1283.975000,29.287425,25.472411,7.630028,32.410714,1288.800000,1379.307575,1198.292425,85.014006,71.014348,68.197039,76.648967
2008-02-15,1388.000000,1404.500000,1375.000000,1391.250000,1346.950000,1315.383333,1288.100000,32.890259,26.955980,11.868557,32.785714,1294.812500,1395.720336,1193.904664,85.994764,76.408922,70.934334,87.358099
