time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2010-01-04,4523,4610,4523,4576,,,,0.000000,0.000000,0.000000,,,,,,,,
2010-01-05,4592,4606,4572,4590,,,,1.116809,0.223362,1.786895,,,,,,,,
2010-01-06,4587,4635,4581,4620,,,,4.372237,1.053137,6.638201,,,,,,,,
2010-01-07,4641,4650,4389,4539,,,,0.411422,0.924794,-1.026744,,,,,,,,
2010-01-08,4505,4510,4412,4456,4556.200000,,,-9.317552,-1.123675,-16.387754,,,,,,,,
2010-01-11,4495,4518,4475,4502,4541.400000,,,-13.164269,-3.531794,-19.264950,,,,,,,,
2010-01-12,4505,4528,4480,4503,4524.000000,,,-15.948287,-6.015093,-19.866388,,,,,,,,
2010-01-13,4420,4460,4354,4420,4484.000000,,,-24.568833,-9.725841,-29.685984,,,,,,,,
2010-01-14,4450,4464,4430,4448,4465.800000,,,-28.809217,-13.542516,-30.533402,,,,,,31.756757,31.756757,31.756757
2010-01-15,4419,4436,4355,4395,4453.600000,,,-36.031065,-18.040226,-35.981679,,,,,,21.013514,25.310811,12.418919
2010-01-18,4339,4399,4310,4374,4428.000000,,,-42.953812,-23.022943,-39.861737,,,,,,19.976153,22.783867,14.360723
2010-01-19,4405,4418,4361,4388,4405.000000,,,-46.771305,-27.772615,-37.997379,,,,,,21.207778,22.129184,19.364966
2010-01-20,4392,4394,4341,4364,4393.800000,,,-51.143742,-32.446841,-37.393802,,,,,,22.575513,22.300523,23.125491
2010-01-21,4337,4366,4326,4344,4373.000000,,,-55.582047,-37.073882,-37.016330,85.571429,,,,26.706827,20.025225,21.469099,17.137478
2010-01-22,4319,4335,4257,4298,4353.600000,4454.466667,,-62.095454,-42.078196,-40.034515,85.571429,,,,24.448529,18.291744,20.344139,14.186953
2010-01-25,4280,4295,4265,4280,4334.800000,4434.733333,,-67.926807,-47.247918,-41.357778,85.500000,,,,21.715328,15.801015,18.768277,9.866492
2010-01-26,4286,4290,4258,4270,4311.200000,4413.400000,,-72.519158,-52.302166,-40.433983,83.928571,,,,16.856061,12.542650,16.637645,4.352660
2010-01-27,4275,4327,4265,4299,4298.200000,4392.000000,,-72.977333,-56.437200,-33.080267,69.714286,,,,24.789916,16.247239,16.505213,15.731291
2010-01-28,4260,4319,4255,4295,4288.400000,4375.733333,,-72.823741,-59.714508,-26.218466,65.214286,,,,29.722922,19.043783,17.361300,22.408748
2010-01-29,4281,4315,4276,4298,4288.400000,4365.200000,,-71.634188,-62.098444,-19.071489,63.571429,4412.950000,4636.277444,4189.622556,21.186441,21.508306,18.754373,27.016173
2010-02-01,4317,4334,4276,4296,4291.600000,4351.466667,,-70.045403,-63.687836,-12.715134,64.285714,4398.950000,4614.199647,4183.700353,20.845070,24.184757,20.573850,31.406572
2010-02-02,4316,4323,4126,4209,4279.400000,4331.866667,,-74.942561,-65.938781,-18.007560,67.714286,4379.900000,4591.361979,4168.438021,20.612813,27.662864,22.944977,37.098637
2010-02-03,4175,4188,4136,4165,4252.600000,4314.866667,,-81.435291,-69.038083,-24.794416,69.785714,4357.150000,4557.457422,4156.842578,12.266667,24.655136,23.516335,26.932739
2010-02-04,4150,4158,4093,4123,4218.200000,4293.200000,,-88.944577,-73.019382,-31.850391,68.285714,4336.350000,4543.429212,4129.270788,12.637363,20.579931,22.536041,16.667711
2010-02-05,4090,4110,4066,4088,4176.200000,4272.733333,,-96.606330,-77.736771,-37.739118,66.000000,4317.950000,4544.725544,4091.174456,12.169312,16.452083,20.505994,8.344259
2010-02-08,4120,4139,4103,4123,4141.600000,4256.000000,,-98.716179,-81.932653,-33.567052,65.571429,4299.000000,4524.354925,4073.645075,16.791980,18.058694,19.689675,14.796733
2010-02-09,4123,4166,4115,4137,4127.200000,4239.266667,,-98.127415,-85.171605,-25.911619,65.428571,4280.700000,4495.498902,4065.901098,20.822622,20.871244,20.083709,22.446314
2010-02-10,4172,4219,4156,4191,4132.400000,4227.733333,,-92.240178,-86.585320,-11.309717,68.428571,4269.250000,4477.084828,4061.415172,31.914894,29.464011,23.211417,41.969198
2010-02-11,4210,4236,4190,4216,4151.000000,4219.200000,,-84.582199,-86.184696,3.204993,65.500000,4257.650000,4448.697280,4066.602720,39.800995,38.301162,28.242341,58.418804
2010-02-12,4246,4299,4233,4276,4188.600000,4217.733333,4336.100000,-72.832134,-83.514183,21.364099,69.071429,4251.700000,4431.836907,4071.563093,49.549550,52.773396,36.420452,85.479284
2010-02-22,4330,4376,4229,4278,4219.600000,4217.600000,4326.166667,-62.636702,-79.338687,33.403971,77.285714,4246.900000,4418.215529,4075.584471,50.917431,57.978427,43.607084,86.721112
2010-02-23,4240,4297,4220,4273,4246.800000,4217.800000,4315.600000,-54.333880,-74.337726,40.007692,78.357143,4241.150000,4399.774714,4082.525286,46.844660,60.910523,49.375240,83.981090
2010-02-24,4261,4281,4233,4252,4259.000000,4214.666667,4303.333333,-48.884844,-69.247149,40.724611,77.214286,4235.550000,4383.459610,4087.640390,44.988345,60.607004,53.119309,75.582392
2010-02-25,4258,4263,4191,4234,4262.600000,4210.600000,4293.166667,-45.494461,-64.496612,38.004301,79.571429,4230.050000,4368.881932,4091.218068,42.792793,56.399674,54.212793,60.773436
2010-02-26,4208,4219,4175,4196,4246.600000,4203.800000,4284.500000,-45.351062,-60.667502,30.632879,79.642857,4224.950000,4360.732295,4089.167705,39.583333,47.944461,52.123312,39.586759
2010-03-01,4233,4256,4190,4216,4234.200000,4198.466667,4274.966667,-43.126450,-57.159291,28.065683,70.285714,4221.750000,4355.063836,4088.436164,50.847458,41.053802,48.433432,26.294543
2010-03-02,4202,4208,4151,4172,4214.000000,4196.000000,4263.933333,-44.402022,-54.607837,20.411631,69.714286,4216.850000,4349.900485,4083.799515,50.847458,30.480230,42.448985,6.542720
2010-03-03,4173,4173,4133,4150,4193.600000,4195.000000,4254.933333,-46.650381,-53.016346,12.731930,67.428571,4209.400000,4339.741091,4079.058909,53.435115,22.652074,35.849980,-3.743738
2010-03-04,4150,4158,4135,4145,4175.800000,4196.466667,4244.833333,-48.279149,-52.068907,7.579516,65.000000,4201.900000,4328.716735,4075.083265,57.851240,16.747453,29.482449,-8.722540
2010-03-05,4140,4172,4135,4157,4168.000000,4201.066667,4236.900000,-48.047794,-51.264684,6.433780,64.000000,4194.850000,4314.655588,4075.044412,55.000000,16.043016,25.002627,-1.876208
2010-03-08,4171,4205,4165,4190,4162.800000,4205.533333,4230.766667,-44.686501,-49.949048,10.525093,63.785714,4189.550000,4299.486776,4079.613224,57.381616,23.533193,24.512815,21.573949
2010-03-09,4185,4198,4174,4189,4166.200000,4209.000000,4224.133333,-41.623534,-48.283945,13.320822,59.642857,4188.550000,4298.105033,4078.994967,49.673203,30.047777,26.357804,37.427721
2010-03-10,4200,4217,4194,4207,4177.600000,4210.066667,4218.900000,-37.313534,-46.089863,17.552658,58.357143,4190.650000,4299.914093,4081.385907,48.494983,40.086058,30.933892,58.390391
2010-03-11,4216,4219,4177,4203,4189.200000,4209.200000,4214.200000,-33.830616,-43.638013,19.614795,55.428571,4194.650000,4299.244002,4090.055998,34.979424,45.694231,35.854007,65.374679
2010-03-12,4221,4228,4205,4212,4200.200000,4204.933333,4211.333333,-29.998351,-40.910081,21.823460,46.714286,4200.850000,4292.756761,4108.943239,36.800000,58.182123,43.296715,87.952939
2010-03-15,4226,4245,4211,4229,4208.000000,4201.666667,4209.633333,-25.297877,-37.787640,24.979526,43.642857,4206.150000,4291.117548,4121.182452,41.603053,67.359512,51.317649,99.443239
2010-03-16,4252,4371,4243,4318,4233.800000,4204.666667,4211.233333,-14.227160,-33.075544,37.696768,50.357143,4215.200000,4307.404806,4122.995194,60.000000,70.753800,57.796367,96.668665
2010-03-17,4358,4400,4334,4364,4265.200000,4212.133333,4213.400000,-1.721873,-26.804810,50.165874,51.071429,4223.850000,4336.654022,4111.045978,68.156425,75.974232,63.855656,100.211384
2010-03-18,4342,4351,4318,4334,4291.400000,4218.800000,4214.700000,5.702177,-20.303412,52.011179,50.142857,4229.750000,4352.711483,4106.788517,69.714286,74.621119,67.444144,88.975070
2010-03-19,4329,4351,4315,4337,4316.400000,4228.200000,4216.000000,11.693075,-13.904115,51.194379,48.000000,4232.800000,4363.381856,4102.218144,68.168168,73.788711,69.558999,82.248133
2010-03-22,4349,4395,4341,4373,4345.200000,4238.666667,4218.566667,19.125338,-7.298224,52.847125,47.500000,4237.550000,4381.301943,4093.798057,80.923077,78.489933,72.535977,90.397844
2010-03-23,4365,4380,4350,4362,4354.000000,4251.333333,4223.666667,23.852891,-1.068001,49.841785,46.785714,4242.000000,4395.548895,4088.451105,83.757962,79.979836,75.017263,89.904980
2010-03-24,4362,4418,4348,4391,4359.400000,4267.400000,4231.200000,29.598377,5.065274,49.066205,50.142857,4248.950000,4416.361846,4081.538154,86.390533,82.427872,77.487466,92.308683
2010-03-25,4425,4448,4404,4423,4377.200000,4285.933333,4241.200000,36.315229,11.315265,49.999928,51.571429,4258.400000,4442.739961,4074.060039,87.150838,84.769073,79.914669,94.477883
2010-03-26,4433,4484,4426,4449,4399.600000,4305.400000,4253.233333,43.237946,17.699801,51.076288,52.500000,4271.050000,4471.389160,4070.710840,86.894587,85.005108,81.611482,91.792361
2010-03-29,4449,4480,4445,4459,4416.800000,4323.333333,4264.433333,48.966707,23.953183,50.027049,53.285714,4283.200000,4498.404774,4067.995226,87.500000,85.072439,82.765134,89.687049
2010-03-30,4470,4477,4420,4443,4433.000000,4340.266667,4274.633333,51.620674,29.486681,44.267986,55.357143,4296.750000,4516.551705,4076.948295,82.960894,81.961508,82.497259,80.890006
2010-03-31,4426,4437,4409,4420,4438.800000,4354.466667,4282.266667,51.276966,33.844738,34.864456,54.785714,4310.250000,4525.214257,4095.285743,78.779841,75.351064,80.115194,65.822805
2010-04-01,4426,4426,4380,4409,4436.000000,4368.200000,4288.700000,49.545832,36.984957,25.121752,56.285714,4323.450000,4527.851540,4119.048460,75.989446,66.084859,75.438416,47.377745
2010-04-02,4763,4788,4758,4772,4500.600000,4405.533333,4305.233333,76.582172,44.904400,63.355544,80.928571,4354.200000,4626.822816,4081.577184,87.448276,76.177785,75.684872,77.163610
2010-04-06,4799,4832,4794,4813,4571.400000,4444.466667,4323.066667,100.162413,55.956002,88.412821,75.071429,4385.350000,4715.314767,4055.385233,86.558346,82.809983,78.059909,92.310131
2010-04-07,4839,4854,4829,4840,4650.800000,4479.266667,4341.966667,119.649355,68.694673,101.909364,72.142857,4417.900000,4791.820284,4043.979716,86.170213,87.555460,81.225093,100.216195
2010-04-08,4843,4846,4801,4823,4731.400000,4509.866667,4361.000000,132.197251,81.395188,101.604125,72.071429,4448.700000,4849.956500,4047.443500,87.906977,89.523612,83.991266,100.588304
2010-04-09,4816,4850,4805,4831,4815.800000,4543.000000,4380.900000,141.159879,93.348127,95.623505,72.714286,4480.100000,4898.328797,4061.871203,88.000000,91.398301,86.460277,101.274348
2010-04-12,4865,4885,4853,4870,4835.400000,4578.533333,4403.366667,149.684333,104.615368,90.137930,72.428571,4513.000000,4945.701185,4080.298815,88.055130,93.275435,88.731997,102.362312
