time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2007-12-26,13547.950000,13563.320000,13492.680000,13551.690000,,,,0.000000,0.000000,0.000000,,,,,,,,
2007-12-27,13549.170000,13551.040000,13349.280000,13359.610000,,,,-15.322621,-3.064524,-24.516194,,,,,,,,
2007-12-28,13361.230000,13451.380000,13298.150000,13365.870000,,,,-26.653534,-7.782326,-37.742415,,,,,,,,
2007-12-31,13364.160000,13364.730000,13246.530000,13264.820000,,,,-43.288254,-14.883512,-56.809485,,,,,,,,
2008-01-02,13261.820000,13279.540000,12991.370000,13043.960000,13317.190000,,,-73.446303,-26.596070,-93.700465,,,,,,,,
2008-01-03,13044.120000,13137.930000,13023.560000,13056.720000,13218.196000,,,-95.219517,-40.320759,-109.797515,,,,,,,,
2008-01-04,13046.560000,13046.720000,12789.040000,12800.180000,13106.310000,,,-131.657909,-58.588189,-146.139440,,,,,,,,
2008-01-07,12801.150000,12884.150000,12733.840000,12827.490000,12998.634000,,,-156.527557,-78.176063,-156.702988,,,,,,,,
2008-01-08,12820.900000,12906.420000,12565.410000,12589.070000,12863.484000,,,-193.247793,-101.190409,-184.114769,,,,,,2.370955,2.370955,2.370955
2008-01-09,12590.210000,12738.640000,12501.760000,12735.310000,12801.754000,,,-208.149086,-122.582144,-171.133883,,,,,,14.303254,9.530335,23.849093
2008-01-10,12733.110000,12931.290000,12632.150000,12853.090000,12761.028000,,,-208.056263,-139.676968,-136.758590,,,,,,25.052878,16.883118,41.392397
2008-01-11,12850.740000,12851.140000,12543.870000,12606.300000,12722.252000,,,-225.299479,-156.801470,-136.996017,,,,,,19.678258,18.044176,22.946422
2008-01-14,12613.780000,12794.570000,12613.700000,12778.150000,12712.384000,,,-222.532773,-169.947731,-105.170085,,,,,,25.765733,21.008376,35.280448
2008-01-15,12777.500000,12777.500000,12488.760000,12501.110000,12694.792000,,,-239.929197,-183.944024,-111.970346,216.432857,,,,23.930759,17.045759,19.560382,12.016513
2008-01-16,12476.810000,12613.130000,12392.270000,12466.160000,12640.962000,12919.968667,,-253.612673,-197.877754,-111.469838,227.162857,,,,23.522754,15.008042,17.948602,9.126923
2008-01-17,12467.050000,12517.610000,12125.560000,12159.210000,12502.186000,12827.136667,,-285.929211,-215.488045,-140.882332,240.708571,,,,22.274575,11.250875,15.625378,2.501870
2008-01-18,12159.940000,12341.540000,12022.480000,12099.300000,12400.786000,12743.116000,,-312.769129,-234.944262,-155.649735,252.553571,,,,21.453718,10.293278,13.800543,3.278748
2008-01-22,12092.720000,12092.720000,11634.820000,11971.190000,12239.394000,12650.137333,,-340.452836,-256.045977,-168.813718,277.206429,,,,21.195185,15.602613,14.411834,17.984171
2008-01-23,11969.080000,12276.670000,11644.810000,12270.170000,12193.206000,12583.827333,,-334.412289,-271.719239,-125.386099,301.755714,,,,33.349544,26.867356,18.612235,43.377598
2008-01-24,12272.690000,12399.180000,12241.800000,12378.610000,12175.696000,12539.470667,,-317.218216,-280.819035,-72.798362,304.827857,12733.900500,13627.190832,11840.610168,35.985467,38.383949,25.253997,64.643854
2008-01-25,12391.700000,12486.890000,12183.680000,12207.170000,12185.288000,12482.834000,,-313.808179,-287.416863,-52.782631,307.365714,12666.674500,13501.271766,11832.077234,37.297415,42.058565,30.884450,64.406794
2008-01-28,12205.710000,12386.010000,12112.140000,12383.890000,12242.206000,12455.081333,,-293.463014,-288.626093,-9.673841,316.191429,12617.888500,13393.955619,11841.821381,41.069487,49.917225,37.250515,75.250644
2008-01-29,12385.190000,12503.150000,12346.990000,12480.300000,12344.028000,12431.935333,,-266.487936,-284.198462,35.421052,302.987857,12573.610000,13266.593388,11880.626612,47.677453,62.113504,45.557148,95.226215
2008-01-30,12480.140000,12681.410000,12406.170000,12442.830000,12378.560000,12422.186000,,-245.305776,-276.419925,62.228298,305.727857,12532.510500,13145.805681,11919.215319,43.450494,67.151360,52.766194,95.921692
2008-01-31,12438.280000,12702.380000,12249.930000,12650.360000,12432.910000,12416.522667,,-209.359459,-263.007832,107.296745,316.678571,12512.830500,13080.593241,11945.067759,45.635691,76.486116,60.680868,108.096613
2008-02-01,12638.170000,12767.740000,12602.320000,12743.190000,12540.114000,12409.196000,,-171.405286,-244.687322,146.564074,306.407143,12497.154000,13016.975563,11977.332437,53.156140,83.606573,68.327944,114.163832
2008-02-04,12743.110000,12749.780000,12621.830000,12635.160000,12590.368000,12411.120000,,-148.333551,-225.416568,154.166034,302.098571,12488.903000,12993.487872,11984.318128,46.603256,85.136201,73.933225,107.542154
2008-02-05,12631.850000,12631.930000,12264.070000,12265.130000,12547.334000,12376.918667,,-158.085057,-211.950266,107.730417,307.934286,12460.785000,12948.313408,11973.256592,44.631450,64.529896,70.797839,51.994009
2008-02-06,12257.250000,12390.320000,12178.150000,12200.100000,12498.788000,12356.851333,,-169.111166,-203.382446,68.542560,307.313571,12441.336500,12938.260406,11944.412594,44.028853,47.488753,63.026586,16.413088
2008-02-07,12196.200000,12332.520000,12120.440000,12247.000000,12418.116000,12342.240667,12631.104667,-172.081351,-197.122227,50.081751,294.458571,12416.921000,12900.843008,11932.998992,52.230630,38.514793,54.854896,5.834586
2008-02-08,12248.470000,12281.880000,12103.370000,12182.130000,12305.904000,12343.768667,12585.452667,-177.622194,-193.222220,31.200053,284.419286,12383.373000,12831.698886,11935.047114,52.099311,29.627350,46.444964,-4.007879
2008-02-11,12181.890000,12252.120000,12069.470000,12240.010000,12226.874000,12353.149333,12548.132667,-175.321917,-189.642160,28.640486,264.288571,12365.058500,12804.886112,11925.230888,57.064692,27.892536,40.260454,3.156699
2008-02-12,12241.560000,12469.410000,12241.560000,12373.410000,12248.530000,12379.964000,12515.050667,-160.880140,-183.889756,46.019232,235.541429,12344.821500,12739.553653,11950.089347,52.971825,33.104422,37.875016,23.563235
2008-02-13,12368.120000,12573.130000,12367.800000,12552.240000,12318.958000,12398.768667,12491.298000,-133.466324,-173.805069,80.677491,238.966429,12347.378000,12747.004041,11947.751959,54.803388,45.115936,40.288720,54.770369
2008-02-14,12551.510000,12557.610000,12361.460000,12376.980000,12344.954000,12398.660000,12469.065333,-124.448134,-163.933682,78.971096,231.319286,12342.919000,12738.938426,11946.899574,54.687802,45.144442,41.907322,51.618682
2008-02-15,12376.660000,12376.660000,12278.620000,12348.210000,12378.170000,12408.062667,12445.448333,-118.259432,-154.798832,73.078801,218.782857,12352.369000,12738.835320,11965.902680,48.927395,46.615413,43.476704,52.892829
2008-02-19,12349.590000,12505.250000,12304.080000,12337.220000,12397.612000,12404.951333,12430.016333,-112.939742,-146.427014,66.974544,221.997857,12364.265000,12732.131482,11996.398518,45.465896,48.797246,45.250232,55.891275
2008-02-20,12333.310000,12464.060000,12227.720000,12427.260000,12408.382000,12401.415333,12416.675333,-100.302153,-137.202042,73.799777,219.219286,12387.068500,12705.570827,12068.566173,49.522507,56.210870,48.903797,70.825016
2008-02-21,12426.850000,12503.460000,12247.340000,12284.300000,12354.794000,12390.846667,12406.516333,-100.662081,-129.894050,58.463938,205.195714,12387.775000,12705.246541,12070.303459,38.310917,51.691822,49.833142,55.409183
2008-02-22,12281.090000,12397.790000,12155.260000,12381.020000,12355.602000,12372.890667,12394.706667,-92.081374,-122.331515,60.500282,210.703571,12387.895500,12705.354223,12070.436777,38.463793,55.080291,51.582196,62.076482
2008-02-25,12380.770000,12584.620000,12341.040000,12570.220000,12400.004000,12361.359333,12385.277667,-69.216359,-111.708484,84.984248,218.962857,12406.048000,12721.507713,12090.588287,48.033170,68.935606,57.366675,92.073468
2008-02-26,12569.480000,12734.180000,12512.410000,12684.920000,12469.544000,12364.676667,12387.898333,-41.363526,-97.639492,112.551931,208.297143,12421.099500,12759.965444,12082.233556,65.040307,76.454096,63.729155,101.903977
2008-02-27,12683.540000,12756.560000,12609.370000,12694.280000,12522.948000,12393.286667,12385.102667,-18.323460,-81.776286,126.905651,203.655714,12431.798500,12791.411339,12072.185661,68.441204,80.850214,69.436179,103.678285
2008-02-28,12689.280000,12689.440000,12536.430000,12582.180000,12582.524000,12418.758667,12387.805000,-9.005762,-67.222181,116.432837,199.782143,12438.766000,12804.624357,12072.907643,61.927435,77.566642,72.146334,88.407256
2008-02-29,12579.580000,12580.150000,12223.570000,12266.390000,12559.598000,12420.051333,12381.146000,-26.794167,-59.136578,64.684823,212.646429,12419.567500,12778.914398,12060.220602,52.544082,57.871629,67.388098,38.838693
2008-03-03,12264.360000,12281.370000,12161.050000,12258.900000,12497.334000,12425.169333,12384.469000,-41.023097,-55.513882,28.981569,208.194286,12395.353000,12727.086597,12063.619403,50.588250,44.326413,59.700868,13.577503
2008-03-04,12259.140000,12259.230000,12032.420000,12213.800000,12403.110000,12423.422000,12388.285667,-55.301341,-55.471374,0.340066,208.009286,12374.285000,12695.237852,12053.332148,44.740363,37.900155,52.433963,8.832541
2008-03-05,12204.930000,12349.670000,12140.530000,12254.990000,12315.252000,12415.527333,12397.745667,-62.571972,-56.891494,-11.360958,208.281429,12373.778000,12695.488012,12052.067988,39.227496,35.512027,46.793317,12.949446
2008-03-06,12254.590000,12254.590000,12026.070000,12040.390000,12206.894000,12381.404000,12390.086333,-84.674353,-62.448066,-44.452576,210.622143,12365.792500,12712.603679,12018.981321,38.139971,24.328126,39.304920,-5.625460
2008-03-07,12039.090000,12094.210000,11819.690000,11893.690000,12132.354000,12349.184667,12373.922333,-112.728648,-72.504182,-80.448932,223.205000,12348.127000,12751.754808,11944.499192,35.213476,18.851631,32.487156,-8.419420
2008-03-10,11893.040000,11926.500000,11731.600000,11740.150000,12028.604000,12308.647333,12358.355000,-145.672056,-87.137757,-117.068599,222.757143,12326.028000,12808.600471,11843.455529,32.224663,12.845814,25.940042,-13.342643
2008-03-11,11741.330000,12160.800000,11741.010000,12156.810000,12017.206000,12296.620000,12350.785667,-136.584504,-97.027106,-79.114795,235.922143,12321.868000,12808.975774,11834.760226,43.259343,23.361406,25.080497,19.923226
2008-03-12,12148.610000,12303.350000,12092.250000,12110.240000,11988.256000,12275.485333,12338.450333,-131.623094,-103.946304,-55.353580,232.706429,12308.709500,12804.102663,11813.316337,45.442787,30.448272,26.869755,37.605305
2008-03-13,12096.490000,12215.350000,11875.780000,12145.740000,12009.326000,12266.248000,12328.547333,-123.404062,-107.837856,-31.132414,239.637857,12288.384500,12774.985639,11801.783361,43.635921,42.633966,32.124492,63.652915
2008-03-14,12146.390000,12193.610000,11832.720000,11951.090000,12020.806000,12237.586000,12305.238333,-131.085971,-112.487479,-37.196985,248.017143,12267.090000,12774.209310,11759.970690,33.302408,40.260031,34.836338,51.107415
2008-03-17,11946.450000,12076.220000,11756.600000,11972.250000,12067.226000,12197.721333,12279.540333,-133.922726,-116.774528,-34.296396,255.006429,12248.292000,12770.401154,11726.182846,29.758409,39.818593,36.497090,46.461600
2008-03-18,11975.920000,12392.660000,11975.840000,12392.660000,12114.396000,12178.237333,12271.457000,-101.082090,-113.636041,25.107900,274.522143,12251.064000,12775.743471,11726.384529,43.054903,59.879062,44.291081,91.055025
2008-03-19,12391.520000,12461.530000,12095.100000,12099.660000,12112.280000,12138.596000,12265.941333,-97.573534,-110.423539,25.700010,289.420714,12234.684000,12756.650455,11712.717545,39.743917,56.727379,48.436514,73.309111
2008-03-20,12102.430000,12378.740000,12097.870000,12361.320000,12155.396000,12123.872000,12271.315333,-72.839554,-102.906742,60.134377,283.867857,12238.535000,12763.172415,11713.897585,52.065285,66.575348,54.482792,90.760461
2008-03-24,12361.970000,12622.070000,12361.970000,12548.640000,12274.906000,12142.688667,12281.370000,-37.688093,-89.863012,104.349839,293.898571,12246.916000,12786.285865,11707.546135,55.846105,74.938806,61.301463,102.213491
2008-03-25,12547.340000,12571.840000,12449.080000,12532.600000,12386.976000,12160.935333,12293.052333,-10.997824,-74.089975,126.184301,286.466429,12245.035000,12779.901122,11710.168878,56.508779,79.846625,67.483184,104.573508
2008-03-26,12531.790000,12531.950000,12376.700000,12422.860000,12393.016000,12174.872667,12299.147333,1.284498,-59.015080,120.599156,282.663571,12231.932000,12733.209850,11730.654150,53.333995,78.891900,71.286089,94.103521
2008-03-27,12421.880000,12476.760000,12293.340000,12302.460000,12433.576000,12178.037333,12296.782333,1.288203,-46.954424,96.485253,279.413571,12212.341000,12665.890725,11758.791275,55.407184,73.618244,72.063474,76.727784
